scenario,type,mean_wait,median_wait,p90_wait,final_queue
Observed,observed,27.92753623188406,23.0,44.20000000000002,
thu_3 | delay=0,simulated,24.64485981308411,21.0,42.0,0.0
thu_3 | delay=1,simulated,30.09,27.5,43.0,2.0
thu_3 | delay=2,simulated,30.09,27.5,43.0,2.0
thu2_fri1 | delay=0,simulated,24.170212765957448,21.0,34.500000000000014,0.0
thu2_fri1 | delay=1,simulated,26.16470588235294,23.0,36.0,0.0
thu2_fri1 | delay=2,simulated,28.310344827586206,27.0,36.0,2.0
thu1_fri2 | delay=0,simulated,23.936842105263157,21.0,43.0,1.0
thu1_fri2 | delay=1,simulated,24.178947368421053,22.0,37.0,0.0
thu1_fri2 | delay=2,simulated,30.0125,28.0,44.50000000000004,0.0
thu2_fri2 | delay=0,simulated,23.677419354838708,21.0,34.79999999999998,0.0
thu2_fri2 | delay=1,simulated,23.757894736842104,22.0,36.0,0.0
thu2_fri2 | delay=2,simulated,28.310344827586206,27.0,36.0,2.0
