schedule,capacity,delay_days,completed,final_queue,mean_queue_wait,median_queue_wait,n,mean_total_wait,median_total_wait,p90_total_wait
thu_3,{3: 3},0,168,0,0.5233644859813084,0.0,107,24.64485981308411,21.0,42.0
thu_3,{3: 3},1,163,2,6.21,6.0,100,30.09,27.5,43.0
thu_3,{3: 3},2,163,2,5.21,5.0,100,30.09,27.5,43.0
thu2_fri1,"{3: 2, 4: 1}",0,157,0,0.5425531914893617,0.0,94,24.170212765957448,21.0,34.500000000000014
thu2_fri1,"{3: 2, 4: 1}",1,149,0,3.1176470588235294,6.0,85,26.16470588235294,23.0,36.0
thu2_fri1,"{3: 2, 4: 1}",2,159,2,5.149425287356322,5.0,87,28.310344827586206,27.0,36.0
thu1_fri2,"{3: 1, 4: 2}",0,164,1,0.8736842105263158,1.0,95,23.936842105263157,21.0,43.0
thu1_fri2,"{3: 1, 4: 2}",1,161,0,1.1578947368421053,0.0,95,24.178947368421053,22.0,37.0
thu1_fri2,"{3: 1, 4: 2}",2,151,0,5.65,5.5,80,30.0125,28.0,44.50000000000004
thu2_fri2,"{3: 2, 4: 2}",0,159,0,0.1827956989247312,0.0,93,23.677419354838708,21.0,34.79999999999998
thu2_fri2,"{3: 2, 4: 2}",1,161,0,1.0736842105263158,0.0,95,23.757894736842104,22.0,36.0
thu2_fri2,"{3: 2, 4: 2}",2,159,2,5.149425287356322,5.0,87,28.310344827586206,27.0,36.0
