mri_capacity,biopsy_capacity,n_runs,n_patients_mean,metric_mean_mean,metric_mean_sd,metric_median_mean,metric_p90_mean,metric,group
2,1,30,101.33333333333333,49.99026571921868,13.069446442099348,48.233333333333334,88.56333333333333,ref_to_mri_wait,PROSTAD
2,2,30,101.33333333333333,49.99026571921868,13.069446442099348,48.233333333333334,88.56333333333333,ref_to_mri_wait,PROSTAD
2,3,30,101.33333333333333,49.99026571921868,13.069446442099348,48.233333333333334,88.56333333333333,ref_to_mri_wait,PROSTAD
2,4,30,101.33333333333333,49.99026571921868,13.069446442099348,48.233333333333334,88.56333333333333,ref_to_mri_wait,PROSTAD
2,5,30,101.33333333333333,49.99026571921868,13.069446442099348,48.233333333333334,88.56333333333333,ref_to_mri_wait,PROSTAD
2,6,30,101.33333333333333,49.99026571921868,13.069446442099348,48.233333333333334,88.56333333333333,ref_to_mri_wait,PROSTAD
3,1,30,135.4,10.437789570733138,4.400995854570586,9.983333333333333,19.15666666666667,ref_to_mri_wait,PROSTAD
3,2,30,135.4,10.437789570733138,4.400995854570586,9.983333333333333,19.15666666666667,ref_to_mri_wait,PROSTAD
3,3,30,135.4,10.437789570733138,4.400995854570586,9.983333333333333,19.15666666666667,ref_to_mri_wait,PROSTAD
3,4,30,135.4,10.437789570733138,4.400995854570586,9.983333333333333,19.15666666666667,ref_to_mri_wait,PROSTAD
3,5,30,135.4,10.437789570733138,4.400995854570586,9.983333333333333,19.15666666666667,ref_to_mri_wait,PROSTAD
3,6,30,135.4,10.437789570733138,4.400995854570586,9.983333333333333,19.15666666666667,ref_to_mri_wait,PROSTAD
4,1,30,139.5,4.3172651368174995,0.5948693657436699,4.683333333333334,7.503333333333334,ref_to_mri_wait,PROSTAD
4,2,30,139.5,4.3172651368174995,0.5948693657436699,4.683333333333334,7.503333333333334,ref_to_mri_wait,PROSTAD
4,3,30,139.5,4.3172651368174995,0.5948693657436699,4.683333333333334,7.503333333333334,ref_to_mri_wait,PROSTAD
4,4,30,139.5,4.3172651368174995,0.5948693657436699,4.683333333333334,7.503333333333334,ref_to_mri_wait,PROSTAD
4,5,30,139.5,4.3172651368174995,0.5948693657436699,4.683333333333334,7.503333333333334,ref_to_mri_wait,PROSTAD
4,6,30,139.5,4.3172651368174995,0.5948693657436699,4.683333333333334,7.503333333333334,ref_to_mri_wait,PROSTAD
5,1,30,139.83333333333334,3.496898452393923,0.2861397919999762,4.066666666666666,6.1,ref_to_mri_wait,PROSTAD
5,2,30,139.83333333333334,3.496898452393923,0.2861397919999762,4.066666666666666,6.1,ref_to_mri_wait,PROSTAD
5,3,30,139.83333333333334,3.496898452393923,0.2861397919999762,4.066666666666666,6.1,ref_to_mri_wait,PROSTAD
5,4,30,139.83333333333334,3.496898452393923,0.2861397919999762,4.066666666666666,6.1,ref_to_mri_wait,PROSTAD
5,5,30,139.83333333333334,3.496898452393923,0.2861397919999762,4.066666666666666,6.1,ref_to_mri_wait,PROSTAD
5,6,30,139.83333333333334,3.496898452393923,0.2861397919999762,4.066666666666666,6.1,ref_to_mri_wait,PROSTAD
6,1,30,139.9,3.26146478560747,0.20376626422597327,4.0,6.0,ref_to_mri_wait,PROSTAD
6,2,30,139.9,3.26146478560747,0.20376626422597327,4.0,6.0,ref_to_mri_wait,PROSTAD
6,3,30,139.9,3.26146478560747,0.20376626422597327,4.0,6.0,ref_to_mri_wait,PROSTAD
6,4,30,139.9,3.26146478560747,0.20376626422597327,4.0,6.0,ref_to_mri_wait,PROSTAD
6,5,30,139.9,3.26146478560747,0.20376626422597327,4.0,6.0,ref_to_mri_wait,PROSTAD
6,6,30,139.9,3.26146478560747,0.20376626422597327,4.0,6.0,ref_to_mri_wait,PROSTAD
7,1,30,139.93333333333334,3.191463548571867,0.18021810606065392,4.0,6.0,ref_to_mri_wait,PROSTAD
7,2,30,139.93333333333334,3.191463548571867,0.18021810606065392,4.0,6.0,ref_to_mri_wait,PROSTAD
7,3,30,139.93333333333334,3.191463548571867,0.18021810606065392,4.0,6.0,ref_to_mri_wait,PROSTAD
7,4,30,139.93333333333334,3.191463548571867,0.18021810606065392,4.0,6.0,ref_to_mri_wait,PROSTAD
7,5,30,139.93333333333334,3.191463548571867,0.18021810606065392,4.0,6.0,ref_to_mri_wait,PROSTAD
7,6,30,139.93333333333334,3.191463548571867,0.18021810606065392,4.0,6.0,ref_to_mri_wait,PROSTAD
8,1,30,139.93333333333334,3.1711017533701744,0.1711112422531677,4.0,6.0,ref_to_mri_wait,PROSTAD
8,2,30,139.93333333333334,3.1711017533701744,0.1711112422531677,4.0,6.0,ref_to_mri_wait,PROSTAD
8,3,30,139.93333333333334,3.1711017533701744,0.1711112422531677,4.0,6.0,ref_to_mri_wait,PROSTAD
8,4,30,139.93333333333334,3.1711017533701744,0.1711112422531677,4.0,6.0,ref_to_mri_wait,PROSTAD
8,5,30,139.93333333333334,3.1711017533701744,0.1711112422531677,4.0,6.0,ref_to_mri_wait,PROSTAD
8,6,30,139.93333333333334,3.1711017533701744,0.1711112422531677,4.0,6.0,ref_to_mri_wait,PROSTAD
