mri_capacity,biopsy_capacity,n_runs,n_patients_mean,metric_mean_mean,metric_mean_sd,metric_median_mean,metric_p90_mean,metric,group
2,1,30,73.23333333333333,110.84196065744943,8.047220955852332,111.1,162.22,time_to_outpatient,ALL
2,2,30,103.9,75.53129407489948,6.533013007234644,70.78333333333333,108.53,time_to_outpatient,ALL
2,3,30,104.2,74.81498186318659,6.555755412411658,70.2,107.89666666666668,time_to_outpatient,ALL
2,4,30,104.2,74.76198654121173,6.546837688219522,70.15,107.89666666666668,time_to_outpatient,ALL
2,5,30,104.2,74.75719706752753,6.550843966218004,70.11666666666666,107.89666666666668,time_to_outpatient,ALL
2,6,30,104.2,74.75719706752753,6.550843966218004,70.11666666666666,107.89666666666668,time_to_outpatient,ALL
3,1,30,74.43333333333334,109.13735215387506,8.872381024224312,110.28333333333333,164.51333333333335,time_to_outpatient,ALL
3,2,30,118.8,59.2831370487415,2.518674769230713,57.13333333333333,85.05,time_to_outpatient,ALL
3,3,30,119.43333333333334,57.6471780493898,2.2295188203405583,55.36666666666667,82.72000000000001,time_to_outpatient,ALL
3,4,30,119.46666666666667,57.561661006459346,2.2203734017203685,55.3,82.43666666666668,time_to_outpatient,ALL
3,5,30,119.46666666666667,57.55959610970419,2.2208828955420716,55.3,82.43666666666668,time_to_outpatient,ALL
3,6,30,119.46666666666667,57.55959610970419,2.2208828955420716,55.3,82.43666666666668,time_to_outpatient,ALL
4,1,30,74.46666666666667,108.47968393595572,8.655414714157272,108.41666666666667,163.83,time_to_outpatient,ALL
4,2,30,120.6,56.59831143049406,2.3275023140288162,53.483333333333334,84.09666666666666,time_to_outpatient,ALL
4,3,30,121.23333333333333,54.66084321079263,1.9040205389937388,51.916666666666664,81.90666666666668,time_to_outpatient,ALL
4,4,30,121.26666666666667,54.555917930104364,1.8594241125998467,51.88333333333333,81.68333333333334,time_to_outpatient,ALL
4,5,30,121.26666666666667,54.5524304875003,1.8571635089722156,51.88333333333333,81.65,time_to_outpatient,ALL
4,6,30,121.26666666666667,54.5524304875003,1.8571635089722156,51.88333333333333,81.65,time_to_outpatient,ALL
5,1,30,74.6,108.47942080587258,8.78423608709082,108.86666666666666,164.5,time_to_outpatient,ALL
5,2,30,120.66666666666667,56.29651763869078,2.339769362228902,53.13333333333333,84.23,time_to_outpatient,ALL
5,3,30,121.36666666666666,54.22219513687934,1.9495835009574458,51.4,81.75666666666667,time_to_outpatient,ALL
5,4,30,121.43333333333334,54.100771031957535,1.90867301602073,51.35,81.45333333333333,time_to_outpatient,ALL
5,5,30,121.43333333333334,54.0974376986242,1.9045245331611764,51.35,81.45333333333333,time_to_outpatient,ALL
5,6,30,121.43333333333334,54.0974376986242,1.9045245331611764,51.35,81.45333333333333,time_to_outpatient,ALL
6,1,30,74.6,108.48018419712523,8.780227338710588,108.78333333333333,164.7,time_to_outpatient,ALL
6,2,30,120.63333333333334,56.25510320253752,2.362789274442366,52.983333333333334,84.24666666666667,time_to_outpatient,ALL
6,3,30,121.43333333333334,54.12659351568724,1.9425962436071182,51.15,81.8,time_to_outpatient,ALL
6,4,30,121.5,53.98694909929417,1.9036946649508115,51.1,81.43666666666667,time_to_outpatient,ALL
6,5,30,121.5,53.981302080323985,1.9041581610050908,51.06666666666667,81.43666666666667,time_to_outpatient,ALL
6,6,30,121.5,53.97963541365732,1.902040573209873,51.06666666666667,81.43666666666667,time_to_outpatient,ALL
7,1,30,74.6,108.48351753045856,8.779996019007019,108.78333333333333,164.7,time_to_outpatient,ALL
7,2,30,120.63333333333334,56.245434760063084,2.3664547480942164,53.0,84.36666666666666,time_to_outpatient,ALL
7,3,30,121.43333333333334,54.09906668992655,1.9561386838250927,51.11666666666667,81.85333333333332,time_to_outpatient,ALL
7,4,30,121.53333333333333,53.94592504397996,1.9089097124951104,51.016666666666666,81.43666666666667,time_to_outpatient,ALL
7,5,30,121.56666666666666,53.94465710997709,1.9101674002420723,51.016666666666666,81.42,time_to_outpatient,ALL
7,6,30,121.56666666666666,53.94299044331043,1.9080233685663022,51.016666666666666,81.42,time_to_outpatient,ALL
8,1,30,74.6,108.48060086379188,8.774607937658747,108.73333333333333,164.70666666666668,time_to_outpatient,ALL
8,2,30,120.63333333333334,56.24154587117419,2.3675201125750527,53.0,84.36666666666666,time_to_outpatient,ALL
8,3,30,121.43333333333334,54.09514484435216,1.9559778303184097,51.11666666666667,81.85333333333332,time_to_outpatient,ALL
8,4,30,121.53333333333333,53.93635234194089,1.9110273067447154,51.0,81.43666666666667,time_to_outpatient,ALL
8,5,30,121.56666666666666,53.93305396418157,1.9151884038121787,51.0,81.42,time_to_outpatient,ALL
8,6,30,121.56666666666666,53.9313872975149,1.9130395420107271,51.0,81.42,time_to_outpatient,ALL
