mri_capacity,biopsy_capacity,n_runs,n_patients_mean,metric_mean_mean,metric_mean_sd,metric_median_mean,metric_p90_mean,metric,group
2,1,30,32.233333333333334,107.42533721270969,12.634652438922274,105.65,168.5966666666667,time_to_outpatient,PROSTAD
2,2,30,44.86666666666667,81.91597564392025,14.322561084188212,81.53333333333333,117.11999999999999,time_to_outpatient,PROSTAD
2,3,30,44.9,81.73338036455252,14.336981896446009,80.95,117.20666666666668,time_to_outpatient,PROSTAD
2,4,30,44.9,81.73338036455252,14.336981896446009,80.95,117.20666666666668,time_to_outpatient,PROSTAD
2,5,30,44.9,81.73338036455252,14.336981896446009,80.95,117.20666666666668,time_to_outpatient,PROSTAD
2,6,30,44.9,81.73338036455252,14.336981896446009,80.95,117.20666666666668,time_to_outpatient,PROSTAD
3,1,30,38.0,92.79261284986896,11.008388037836017,92.16666666666667,144.01000000000002,time_to_outpatient,PROSTAD
3,2,30,59.96666666666667,46.96985094620066,4.7971080249026015,45.31666666666667,62.46666666666667,time_to_outpatient,PROSTAD
3,3,30,60.166666666666664,45.899318845995325,4.6425305878503185,44.13333333333333,61.38333333333333,time_to_outpatient,PROSTAD
3,4,30,60.166666666666664,45.899318845995325,4.6425305878503185,44.13333333333333,61.38333333333333,time_to_outpatient,PROSTAD
3,5,30,60.166666666666664,45.899318845995325,4.6425305878503185,44.13333333333333,61.38333333333333,time_to_outpatient,PROSTAD
3,6,30,60.166666666666664,45.899318845995325,4.6425305878503185,44.13333333333333,61.38333333333333,time_to_outpatient,PROSTAD
4,1,30,38.733333333333334,90.38154485683897,10.189112631916498,88.98333333333333,141.11666666666667,time_to_outpatient,PROSTAD
4,2,30,61.833333333333336,41.93037876075407,2.0501221180889484,40.5,55.830000000000005,time_to_outpatient,PROSTAD
4,3,30,61.96666666666667,40.45008929949631,1.7619770058184903,38.63333333333333,53.63666666666667,time_to_outpatient,PROSTAD
4,4,30,61.96666666666667,40.43831045334246,1.7675155557931106,38.61666666666667,53.63666666666667,time_to_outpatient,PROSTAD
4,5,30,61.96666666666667,40.43831045334246,1.7675155557931106,38.61666666666667,53.63666666666667,time_to_outpatient,PROSTAD
4,6,30,61.96666666666667,40.43831045334246,1.7675155557931106,38.61666666666667,53.63666666666667,time_to_outpatient,PROSTAD
5,1,30,38.86666666666667,89.93648865250144,10.24616008704269,88.76666666666667,140.34333333333333,time_to_outpatient,PROSTAD
5,2,30,61.9,41.25424036666644,1.7495480175037865,39.733333333333334,55.23666666666667,time_to_outpatient,PROSTAD
5,3,30,62.13333333333333,39.62737368364187,1.354621730991279,37.983333333333334,52.89666666666667,time_to_outpatient,PROSTAD
5,4,30,62.13333333333333,39.60873044197157,1.366701030675276,37.96666666666667,52.89666666666667,time_to_outpatient,PROSTAD
5,5,30,62.13333333333333,39.60873044197157,1.366701030675276,37.96666666666667,52.89666666666667,time_to_outpatient,PROSTAD
5,6,30,62.13333333333333,39.60873044197157,1.366701030675276,37.96666666666667,52.89666666666667,time_to_outpatient,PROSTAD
6,1,30,38.86666666666667,89.80896474339232,10.228281858949442,88.66666666666667,140.32333333333335,time_to_outpatient,PROSTAD
6,2,30,61.93333333333333,41.12447816718206,1.7589686231642991,39.666666666666664,55.016666666666666,time_to_outpatient,PROSTAD
6,3,30,62.2,39.421721210601525,1.3039684630429684,37.8,52.77333333333333,time_to_outpatient,PROSTAD
6,4,30,62.2,39.395427695707184,1.3174016274053595,37.78333333333333,52.77333333333333,time_to_outpatient,PROSTAD
6,5,30,62.2,39.395427695707184,1.3174016274053595,37.78333333333333,52.77333333333333,time_to_outpatient,PROSTAD
6,6,30,62.2,39.395427695707184,1.3174016274053595,37.78333333333333,52.77333333333333,time_to_outpatient,PROSTAD
7,1,30,38.86666666666667,89.7739922339766,10.220683410021472,88.66666666666667,140.32333333333335,time_to_outpatient,PROSTAD
7,2,30,61.93333333333333,41.08509208561814,1.7516007776925488,39.63333333333333,54.86666666666667,time_to_outpatient,PROSTAD
7,3,30,62.2,39.360280106887316,1.2718975330965843,37.733333333333334,52.51666666666667,time_to_outpatient,PROSTAD
7,4,30,62.266666666666666,39.34082481976088,1.2683320523560444,37.71666666666667,52.556666666666665,time_to_outpatient,PROSTAD
7,5,30,62.266666666666666,39.34082481976088,1.2683320523560444,37.71666666666667,52.556666666666665,time_to_outpatient,PROSTAD
7,6,30,62.266666666666666,39.34082481976088,1.2683320523560444,37.71666666666667,52.556666666666665,time_to_outpatient,PROSTAD
8,1,30,38.86666666666667,89.74539124167997,10.210065845733137,88.66666666666667,140.0566666666667,time_to_outpatient,PROSTAD
8,2,30,61.93333333333333,41.07078910962162,1.7505252793177528,39.63333333333333,54.86666666666667,time_to_outpatient,PROSTAD
8,3,30,62.2,39.339332624198356,1.2679011727060212,37.68333333333333,52.513333333333335,time_to_outpatient,PROSTAD
8,4,30,62.266666666666666,39.31997983357954,1.263281041784276,37.666666666666664,52.553333333333335,time_to_outpatient,PROSTAD
8,5,30,62.266666666666666,39.31997983357954,1.263281041784276,37.666666666666664,52.553333333333335,time_to_outpatient,PROSTAD
8,6,30,62.266666666666666,39.31997983357954,1.263281041784276,37.666666666666664,52.553333333333335,time_to_outpatient,PROSTAD
