mri_capacity,biopsy_capacity,n_runs,n_patients_mean,metric_mean_mean,metric_mean_sd,metric_median_mean,metric_p90_mean,metric,scenario
2,1,30,62.36666666666667,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
2,2,30,62.36666666666667,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
2,3,30,62.36666666666667,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
2,4,30,62.36666666666667,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
2,5,30,62.36666666666667,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
2,6,30,62.36666666666667,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
3,1,30,92.13333333333334,9.394308675729471,3.900843577800099,8.266666666666667,15.570000000000002,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
3,2,30,94.03333333333333,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
3,3,30,94.03333333333333,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
3,4,30,94.03333333333333,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
3,5,30,94.03333333333333,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
3,6,30,94.03333333333333,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
4,1,30,102.26666666666667,35.90515915118068,9.589726732476484,36.61666666666667,61.163333333333334,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
4,2,30,123.9,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
4,3,30,123.9,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
4,4,30,123.9,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
4,5,30,123.9,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
4,6,30,123.9,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
5,1,30,102.6,61.300993221610526,6.826701974146828,61.233333333333334,108.78666666666666,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
5,2,30,152.46666666666667,5.270034808684043,0.24093161061812537,5.0,5.466666666666667,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
5,3,30,152.66666666666666,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
5,4,30,152.66666666666666,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
5,5,30,152.66666666666666,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
5,6,30,152.66666666666666,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
6,1,30,102.66666666666667,71.74127324424003,7.4138201427496835,71.85,126.54333333333334,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
6,2,30,167.6,6.053641215726789,0.5781402059234051,5.0,9.760000000000002,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
6,3,30,168.1,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
6,4,30,168.1,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
6,5,30,168.1,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
6,6,30,168.1,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
7,1,30,102.7,73.66018778079979,8.2217304838394,73.48333333333333,130.09,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
7,2,30,169.13333333333333,6.783323063738922,1.0004257193625121,5.233333333333333,11.766666666666667,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
7,3,30,169.86666666666667,5.023281924193489,0.027946077831002905,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
7,4,30,169.86666666666667,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
7,5,30,169.86666666666667,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
7,6,30,169.86666666666667,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
8,1,30,102.7,74.28616991695215,8.409619280470151,74.41666666666667,130.76666666666668,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
8,2,30,169.23333333333332,7.2228264348614655,1.1858978670184523,5.233333333333333,12.070000000000002,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
8,3,30,170.03333333333333,5.068115603829321,0.04488202027898689,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
8,4,30,170.03333333333333,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
8,5,30,170.03333333333333,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
8,6,30,170.03333333333333,5.0,0.0,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL_PROSTAD
