mri_capacity,biopsy_capacity,n_runs,n_patients_mean,metric_mean_mean,metric_mean_sd,metric_median_mean,metric_p90_mean,metric,scenario
2,1,30,47.13333333333333,140.30144922160767,11.489862433567247,142.1,220.58333333333334,time_to_outpatient,ALL_PROSTAD
2,2,30,47.13333333333333,140.30144922160767,11.489862433567247,142.1,220.58333333333334,time_to_outpatient,ALL_PROSTAD
2,3,30,47.13333333333333,140.30144922160767,11.489862433567247,142.1,220.58333333333334,time_to_outpatient,ALL_PROSTAD
2,4,30,47.13333333333333,140.30144922160767,11.489862433567247,142.1,220.58333333333334,time_to_outpatient,ALL_PROSTAD
2,5,30,47.13333333333333,140.30144922160767,11.489862433567247,142.1,220.58333333333334,time_to_outpatient,ALL_PROSTAD
2,6,30,47.13333333333333,140.30144922160767,11.489862433567247,142.1,220.58333333333334,time_to_outpatient,ALL_PROSTAD
3,1,30,69.16666666666667,114.05297440235375,10.26062917572509,113.35,172.0366666666667,time_to_outpatient,ALL_PROSTAD
3,2,30,70.2,110.78916932745274,11.198947284244891,109.85,168.69333333333333,time_to_outpatient,ALL_PROSTAD
3,3,30,70.2,110.78916932745274,11.198947284244891,109.85,168.69333333333333,time_to_outpatient,ALL_PROSTAD
3,4,30,70.2,110.78916932745274,11.198947284244891,109.85,168.69333333333333,time_to_outpatient,ALL_PROSTAD
3,5,30,70.2,110.78916932745274,11.198947284244891,109.85,168.69333333333333,time_to_outpatient,ALL_PROSTAD
3,6,30,70.2,110.78916932745274,11.198947284244891,109.85,168.69333333333333,time_to_outpatient,ALL_PROSTAD
4,1,30,76.1,102.61859625180668,9.010058030292127,103.58333333333333,152.97666666666666,time_to_outpatient,ALL_PROSTAD
4,2,30,93.13333333333334,82.8008323509225,10.398933083172492,82.85,118.89000000000001,time_to_outpatient,ALL_PROSTAD
4,3,30,93.13333333333334,82.8008323509225,10.398933083172492,82.85,118.89000000000001,time_to_outpatient,ALL_PROSTAD
4,4,30,93.13333333333334,82.8008323509225,10.398933083172492,82.85,118.89000000000001,time_to_outpatient,ALL_PROSTAD
4,5,30,93.13333333333334,82.8008323509225,10.398933083172492,82.85,118.89000000000001,time_to_outpatient,ALL_PROSTAD
4,6,30,93.13333333333334,82.8008323509225,10.398933083172492,82.85,118.89000000000001,time_to_outpatient,ALL_PROSTAD
5,1,30,76.4,101.81040787511392,8.786197706252924,102.23333333333333,152.54666666666665,time_to_outpatient,ALL_PROSTAD
5,2,30,114.1,56.54473871890202,8.041112729265478,55.733333333333334,74.47666666666667,time_to_outpatient,ALL_PROSTAD
5,3,30,114.16666666666667,56.29164977849224,8.155790524393357,55.483333333333334,74.36,time_to_outpatient,ALL_PROSTAD
5,4,30,114.16666666666667,56.29164977849224,8.155790524393357,55.483333333333334,74.36,time_to_outpatient,ALL_PROSTAD
5,5,30,114.16666666666667,56.29164977849224,8.155790524393357,55.483333333333334,74.36,time_to_outpatient,ALL_PROSTAD
5,6,30,114.16666666666667,56.29164977849224,8.155790524393357,55.483333333333334,74.36,time_to_outpatient,ALL_PROSTAD
6,1,30,76.46666666666667,101.64903613495271,8.807610727077732,102.13333333333334,152.41666666666666,time_to_outpatient,ALL_PROSTAD
6,2,30,125.73333333333333,43.207415933482494,2.8193665021829952,41.666666666666664,57.233333333333334,time_to_outpatient,ALL_PROSTAD
6,3,30,126.3,42.183133270853105,2.6839805093093547,40.5,56.03333333333333,time_to_outpatient,ALL_PROSTAD
6,4,30,126.3,42.183133270853105,2.6839805093093547,40.5,56.03333333333333,time_to_outpatient,ALL_PROSTAD
6,5,30,126.3,42.183133270853105,2.6839805093093547,40.5,56.03333333333333,time_to_outpatient,ALL_PROSTAD
6,6,30,126.3,42.183133270853105,2.6839805093093547,40.5,56.03333333333333,time_to_outpatient,ALL_PROSTAD
7,1,30,76.5,101.56210631039131,8.885977758062966,102.03333333333333,152.42999999999998,time_to_outpatient,ALL_PROSTAD
7,2,30,126.93333333333334,41.46832547340889,1.6965879072589423,39.766666666666666,55.169999999999995,time_to_outpatient,ALL_PROSTAD
7,3,30,127.73333333333333,39.78060446842432,1.104459874803554,37.983333333333334,53.43,time_to_outpatient,ALL_PROSTAD
7,4,30,127.73333333333333,39.75837610545379,1.092822429945118,37.95,53.403333333333336,time_to_outpatient,ALL_PROSTAD
7,5,30,127.73333333333333,39.75837610545379,1.092822429945118,37.95,53.403333333333336,time_to_outpatient,ALL_PROSTAD
7,6,30,127.73333333333333,39.75837610545379,1.092822429945118,37.95,53.403333333333336,time_to_outpatient,ALL_PROSTAD
8,1,30,76.5,101.56210631039131,8.885977758062966,102.03333333333333,152.42999999999998,time_to_outpatient,ALL_PROSTAD
8,2,30,127.0,41.29051847740347,1.6922201363658549,39.583333333333336,54.84,time_to_outpatient,ALL_PROSTAD
8,3,30,128.03333333333333,39.24099419027766,0.9314670321476202,37.55,52.68333333333333,time_to_outpatient,ALL_PROSTAD
8,4,30,128.06666666666666,39.18188313172083,0.9263964986750167,37.483333333333334,52.60666666666667,time_to_outpatient,ALL_PROSTAD
8,5,30,128.06666666666666,39.18188313172083,0.9263964986750167,37.483333333333334,52.60666666666667,time_to_outpatient,ALL_PROSTAD
8,6,30,128.06666666666666,39.18188313172083,0.9263964986750167,37.483333333333334,52.60666666666667,time_to_outpatient,ALL_PROSTAD
