scenario,seed,resource,mean_queue_len,peak_queue_len,mean_wait,peak_wait,n_wait_observations
ALL_BASELINE,1,MRI_PROSTAD,0.0,0,0.0,0,0
OBS_MIX,1,MRI_PROSTAD,5.7753424657534245,16,10.494736842105263,27,190
ALL_PROSTAD,1,MRI_PROSTAD,108.7972602739726,237,95.71144278606965,182,201
ALL_BASELINE,2,MRI_PROSTAD,0.0,0,0.0,0,0
OBS_MIX,2,MRI_PROSTAD,8.098630136986301,28,12.627659574468085,34,188
ALL_PROSTAD,2,MRI_PROSTAD,107.75616438356164,239,89.135,176,200
ALL_BASELINE,3,MRI_PROSTAD,0.0,0,0.0,0,0
OBS_MIX,3,MRI_PROSTAD,22.813698630136987,41,36.51776649746193,61,197
ALL_PROSTAD,3,MRI_PROSTAD,120.03287671232877,225,100.18,204,200
ALL_BASELINE,4,MRI_PROSTAD,0.0,0,0.0,0,0
OBS_MIX,4,MRI_PROSTAD,28.660273972602738,40,46.6865671641791,70,201
ALL_PROSTAD,4,MRI_PROSTAD,148.16712328767125,269,111.34653465346534,222,202
ALL_BASELINE,5,MRI_PROSTAD,0.0,0,0.0,0,0
OBS_MIX,5,MRI_PROSTAD,5.358904109589041,16,9.324607329842932,24,191
ALL_PROSTAD,5,MRI_PROSTAD,97.69315068493151,198,90.01,173,200
ALL_BASELINE,6,MRI_PROSTAD,0.0,0,0.0,0,0
OBS_MIX,6,MRI_PROSTAD,20.528767123287672,51,28.39,70,200
ALL_PROSTAD,6,MRI_PROSTAD,126.75342465753425,260,97.72139303482587,187,201
ALL_BASELINE,7,MRI_PROSTAD,0.0,0,0.0,0,0
OBS_MIX,7,MRI_PROSTAD,14.997260273972604,34,23.381909547738694,48,199
ALL_PROSTAD,7,MRI_PROSTAD,120.4931506849315,252,95.31188118811882,190,202
ALL_BASELINE,8,MRI_PROSTAD,0.0,0,0.0,0,0
OBS_MIX,8,MRI_PROSTAD,4.821917808219178,15,8.133333333333333,23,195
ALL_PROSTAD,8,MRI_PROSTAD,110.26301369863013,234,89.7363184079602,186,201
ALL_BASELINE,9,MRI_PROSTAD,0.0,0,0.0,0,0
OBS_MIX,9,MRI_PROSTAD,15.232876712328768,30,24.034825870646767,51,201
ALL_PROSTAD,9,MRI_PROSTAD,125.89041095890411,242,102.58706467661692,198,201
ALL_BASELINE,10,MRI_PROSTAD,0.0,0,0.0,0,0
OBS_MIX,10,MRI_PROSTAD,8.202739726027398,16,14.080402010050252,26,199
ALL_PROSTAD,10,MRI_PROSTAD,113.38630136986302,237,93.83,182,200
ALL_BASELINE,11,MRI_PROSTAD,0.0,0,0.0,0,0
OBS_MIX,11,MRI_PROSTAD,12.36986301369863,24,22.69148936170213,40,188
ALL_PROSTAD,11,MRI_PROSTAD,96.81643835616438,209,81.48,168,200
ALL_BASELINE,12,MRI_PROSTAD,0.0,0,0.0,0,0
OBS_MIX,12,MRI_PROSTAD,8.857534246575343,17,15.43,29,200
ALL_PROSTAD,12,MRI_PROSTAD,121.25205479452055,246,98.005,201,200
ALL_BASELINE,13,MRI_PROSTAD,0.0,0,0.0,0,0
OBS_MIX,13,MRI_PROSTAD,22.715068493150685,35,36.655,55,200
ALL_PROSTAD,13,MRI_PROSTAD,133.47123287671232,260,108.715,203,200
ALL_BASELINE,14,MRI_PROSTAD,0.0,0,0.0,0,0
OBS_MIX,14,MRI_PROSTAD,18.791780821917808,50,26.888324873096447,69,197
ALL_PROSTAD,14,MRI_PROSTAD,121.69315068493151,269,93.82178217821782,194,202
ALL_BASELINE,15,MRI_PROSTAD,0.0,0,0.0,0,0
OBS_MIX,15,MRI_PROSTAD,14.580821917808219,29,24.071428571428573,45,196
ALL_PROSTAD,15,MRI_PROSTAD,136.76438356164383,262,107.83,216,200
ALL_BASELINE,16,MRI_PROSTAD,0.0,0,0.0,0,0
OBS_MIX,16,MRI_PROSTAD,12.117808219178082,27,21.338541666666668,47,192
ALL_PROSTAD,16,MRI_PROSTAD,121.81369863013698,249,95.78,188,200
ALL_BASELINE,17,MRI_PROSTAD,0.0,0,0.0,0,0
OBS_MIX,17,MRI_PROSTAD,17.104109589041094,34,27.01015228426396,58,197
ALL_PROSTAD,17,MRI_PROSTAD,114.81095890410958,234,96.15,191,200
ALL_BASELINE,18,MRI_PROSTAD,0.0,0,0.0,0,0
OBS_MIX,18,MRI_PROSTAD,12.413698630136986,34,19.95939086294416,40,197
ALL_PROSTAD,18,MRI_PROSTAD,116.44383561643835,254,97.27,191,200
ALL_BASELINE,19,MRI_PROSTAD,0.0,0,0.0,0,0
OBS_MIX,19,MRI_PROSTAD,16.424657534246574,40,24.040201005025125,59,199
ALL_PROSTAD,19,MRI_PROSTAD,118.82739726027397,254,94.225,190,200
ALL_BASELINE,20,MRI_PROSTAD,0.0,0,0.0,0,0
OBS_MIX,20,MRI_PROSTAD,9.594520547945205,23,17.921875,39,192
ALL_PROSTAD,20,MRI_PROSTAD,109.71780821917808,224,92.67,186,200
