scenario,seed,stage,total_arrivals,mean_daily_arrivals,peak_daily_arrivals,mean_in_stage,peak_in_stage,total_completed,completion_ratio
ALL_BASELINE,1,ref_to_mri,453,2.0684931506849313,6,28.665753424657535,43,421,0.9293598233995585
ALL_BASELINE,1,mri_to_report,421,1.7615062761506277,6,8.457534246575342,18,409,0.9714964370546318
ALL_BASELINE,1,report_to_biopmdt,409,1.6900826446280992,4,5.945205479452055,14,398,0.9731051344743277
ALL_BASELINE,1,biopmdt_to_biopsy,227,1.3757575757575757,4,16.778082191780822,34,205,0.9030837004405287
ALL_BASELINE,1,biopsy_to_pathrep,205,1.3666666666666667,4,4.832876712328767,16,193,0.9414634146341463
ALL_BASELINE,1,pathrep_to_treatmdt,168,1.3125,3,4.838356164383562,15,159,0.9464285714285714
ALL_BASELINE,1,treatmdt_to_outpat,159,1.358974358974359,3,4.693150684931507,16,154,0.9685534591194969
OBS_MIX,1,ref_to_mri,453,2.0684931506849313,6,15.934246575342465,23,421,0.9293598233995585
OBS_MIX,1,mri_to_report,421,2.1813471502590676,7,4.945205479452055,13,417,0.9904988123515439
OBS_MIX,1,report_to_biopmdt,417,2.160621761658031,7,3.2246575342465755,9,411,0.9856115107913669
OBS_MIX,1,biopmdt_to_biopsy,235,1.6785714285714286,5,17.43013698630137,33,214,0.9106382978723404
OBS_MIX,1,biopsy_to_pathrep,214,1.4172185430463575,5,5.134246575342465,16,203,0.9485981308411215
OBS_MIX,1,pathrep_to_treatmdt,175,1.3671875,4,5.008219178082192,15,164,0.9371428571428572
OBS_MIX,1,treatmdt_to_outpat,164,1.2615384615384615,4,4.879452054794521,15,158,0.9634146341463414
ALL_PROSTAD,1,ref_to_mri,453,2.0684931506849313,6,0.0,0,208,0.45916114790286977
ALL_PROSTAD,1,mri_to_report,208,4.0,4,0.5698630136986301,4,208,1.0
ALL_PROSTAD,1,report_to_biopmdt,208,4.0,4,0.0,0,208,1.0
ALL_PROSTAD,1,biopmdt_to_biopsy,119,2.4285714285714284,4,8.865753424657534,16,108,0.907563025210084
ALL_PROSTAD,1,biopsy_to_pathrep,108,1.2857142857142858,3,2.5753424657534247,8,104,0.9629629629629629
ALL_PROSTAD,1,pathrep_to_treatmdt,85,1.1805555555555556,3,2.6904109589041094,9,84,0.9882352941176471
ALL_PROSTAD,1,treatmdt_to_outpat,84,1.1830985915492958,2,2.536986301369863,11,82,0.9761904761904762
ALL_BASELINE,2,ref_to_mri,445,2.0506912442396312,6,28.90958904109589,46,425,0.9550561797752809
ALL_BASELINE,2,mri_to_report,425,1.7346938775510203,5,8.805479452054794,21,412,0.9694117647058823
ALL_BASELINE,2,report_to_biopmdt,412,1.7606837606837606,5,5.843835616438356,14,406,0.9854368932038835
ALL_BASELINE,2,biopmdt_to_biopsy,246,1.3666666666666667,4,16.832876712328765,27,219,0.8902439024390244
ALL_BASELINE,2,biopsy_to_pathrep,219,1.3518518518518519,4,4.978082191780822,13,216,0.9863013698630136
ALL_BASELINE,2,pathrep_to_treatmdt,179,1.325925925925926,4,5.158904109589041,13,168,0.9385474860335196
