scenario,seed,stage,mean_wait_days,median_wait_days,p90_wait_days
ALL_BASELINE,1,biopsy_to_pathrep,9.005586592178771,8.0,16.0
ALL_BASELINE,1,mri_to_report,7.388571428571429,7.0,14.0
ALL_BASELINE,1,ref_to_mri,24.045714285714286,21.5,42.0
ALL_BASELINE,1,report_to_biopmdt,5.371428571428571,6.0,8.0
ALL_BASELINE,1,treatmdt_to_outpat,10.902597402597403,12.0,13.0
OBS_MIX,1,biopsy_to_pathrep,8.983870967741936,8.0,16.0
OBS_MIX,1,mri_to_report,4.179558011049724,1.0,11.0
OBS_MIX,1,ref_to_mri,18.96685082872928,15.5,35.0
OBS_MIX,1,report_to_biopmdt,2.7624309392265194,1.0,8.0
OBS_MIX,1,treatmdt_to_outpat,10.886075949367088,12.0,13.0
ALL_PROSTAD,1,biopsy_to_pathrep,8.613861386138614,8.0,15.0
ALL_PROSTAD,1,mri_to_report,1.0,1.0,1.0
ALL_PROSTAD,1,ref_to_mri,90.0421052631579,90.0,153.1
ALL_PROSTAD,1,report_to_biopmdt,0.0,0.0,0.0
ALL_PROSTAD,1,treatmdt_to_outpat,11.158536585365853,12.0,13.0
ALL_BASELINE,2,biopsy_to_pathrep,8.314720812182742,7.0,15.0
ALL_BASELINE,2,mri_to_report,7.862745098039215,7.0,15.0
ALL_BASELINE,2,ref_to_mri,23.49579831932773,22.0,37.0
ALL_BASELINE,2,report_to_biopmdt,5.224089635854342,6.0,8.0
ALL_BASELINE,2,treatmdt_to_outpat,10.5125,12.0,13.0
OBS_MIX,2,biopsy_to_pathrep,8.338308457711443,8.0,15.0
OBS_MIX,2,mri_to_report,4.5055555555555555,1.0,12.0
OBS_MIX,2,ref_to_mri,16.82777777777778,15.0,29.0
OBS_MIX,2,report_to_biopmdt,2.672222222222222,1.0,8.0
OBS_MIX,2,treatmdt_to_outpat,10.46951219512195,12.0,13.0
ALL_PROSTAD,2,biopsy_to_pathrep,8.418803418803419,8.0,15.0
ALL_PROSTAD,2,mri_to_report,1.0,1.0,1.0
ALL_PROSTAD,2,ref_to_mri,87.15025906735751,88.0,151.0
ALL_PROSTAD,2,report_to_biopmdt,0.0,0.0,0.0
ALL_PROSTAD,2,treatmdt_to_outpat,10.49,12.0,12.100000000000009
ALL_BASELINE,3,biopsy_to_pathrep,8.976958525345623,8.0,16.0
ALL_BASELINE,3,mri_to_report,7.382513661202186,7.0,13.0
ALL_BASELINE,3,ref_to_mri,24.0,22.0,38.0
ALL_BASELINE,3,report_to_biopmdt,5.185792349726776,6.0,8.0
ALL_BASELINE,3,treatmdt_to_outpat,11.8,12.0,13.0
OBS_MIX,3,biopsy_to_pathrep,8.904306220095695,8.0,16.0
OBS_MIX,3,mri_to_report,4.209631728045326,1.0,11.0
OBS_MIX,3,ref_to_mri,28.586402266288953,26.0,50.0
OBS_MIX,3,report_to_biopmdt,2.444759206798867,0.0,7.0
OBS_MIX,3,treatmdt_to_outpat,11.80722891566265,12.0,13.0
ALL_PROSTAD,3,biopsy_to_pathrep,8.339449541284404,7.0,15.0
ALL_PROSTAD,3,mri_to_report,1.0,1.0,1.0
ALL_PROSTAD,3,ref_to_mri,94.47311827956989,89.5,168.0
ALL_PROSTAD,3,report_to_biopmdt,0.0,0.0,0.0
ALL_PROSTAD,3,treatmdt_to_outpat,11.318181818181818,12.0,13.0
ALL_BASELINE,4,biopsy_to_pathrep,9.048582995951417,8.0,16.0
ALL_BASELINE,4,mri_to_report,7.285365853658536,7.0,15.0
ALL_BASELINE,4,ref_to_mri,25.158536585365855,22.0,43.0
ALL_BASELINE,4,report_to_biopmdt,5.339024390243902,6.0,8.0
ALL_BASELINE,4,treatmdt_to_outpat,11.889952153110048,12.0,26.0
OBS_MIX,4,biopsy_to_pathrep,9.030042918454935,8.0,16.0
