scenario,seed,stage,week_index,weekly_arrivals
ALL_BASELINE,1,ref_to_mri,0,11
ALL_BASELINE,1,ref_to_mri,1,8
ALL_BASELINE,1,ref_to_mri,2,14
ALL_BASELINE,1,ref_to_mri,3,8
ALL_BASELINE,1,ref_to_mri,4,9
ALL_BASELINE,1,ref_to_mri,5,8
ALL_BASELINE,1,ref_to_mri,6,4
ALL_BASELINE,1,ref_to_mri,7,10
ALL_BASELINE,1,ref_to_mri,8,8
ALL_BASELINE,1,ref_to_mri,9,11
ALL_BASELINE,1,ref_to_mri,10,7
ALL_BASELINE,1,ref_to_mri,11,8
ALL_BASELINE,1,ref_to_mri,12,9
ALL_BASELINE,1,ref_to_mri,13,10
ALL_BASELINE,1,ref_to_mri,14,8
ALL_BASELINE,1,ref_to_mri,15,8
ALL_BASELINE,1,ref_to_mri,16,5
ALL_BASELINE,1,ref_to_mri,17,9
ALL_BASELINE,1,ref_to_mri,18,7
ALL_BASELINE,1,ref_to_mri,19,4
ALL_BASELINE,1,ref_to_mri,20,8
ALL_BASELINE,1,ref_to_mri,21,8
ALL_BASELINE,1,ref_to_mri,22,5
ALL_BASELINE,1,ref_to_mri,23,12
ALL_BASELINE,1,ref_to_mri,24,4
ALL_BASELINE,1,ref_to_mri,25,5
ALL_BASELINE,1,ref_to_mri,26,7
ALL_BASELINE,1,ref_to_mri,27,7
ALL_BASELINE,1,ref_to_mri,28,10
ALL_BASELINE,1,ref_to_mri,29,11
ALL_BASELINE,1,ref_to_mri,30,11
ALL_BASELINE,1,ref_to_mri,31,6
ALL_BASELINE,1,ref_to_mri,32,7
ALL_BASELINE,1,ref_to_mri,33,7
ALL_BASELINE,1,ref_to_mri,34,10
ALL_BASELINE,1,ref_to_mri,35,14
ALL_BASELINE,1,ref_to_mri,36,5
ALL_BASELINE,1,ref_to_mri,37,10
ALL_BASELINE,1,ref_to_mri,38,7
ALL_BASELINE,1,ref_to_mri,39,12
ALL_BASELINE,1,ref_to_mri,40,13
ALL_BASELINE,1,ref_to_mri,41,6
ALL_BASELINE,1,ref_to_mri,42,5
ALL_BASELINE,1,ref_to_mri,43,14
ALL_BASELINE,1,ref_to_mri,44,10
