scenario,stage,week_index,weekly_arrivals_mean,weekly_arrivals_std
ALL_BASELINE,biopmdt_to_biopsy,0,2.8,1.3218806379747876
ALL_BASELINE,biopmdt_to_biopsy,1,3.7222222222222223,1.564516672426553
ALL_BASELINE,biopmdt_to_biopsy,2,3.75,1.7733405882980469
ALL_BASELINE,biopmdt_to_biopsy,3,4.4,1.8180382718454353
ALL_BASELINE,biopmdt_to_biopsy,4,5.1,2.268781263377462
ALL_BASELINE,biopmdt_to_biopsy,5,4.526315789473684,2.1439429162340526
ALL_BASELINE,biopmdt_to_biopsy,6,5.85,2.1588252165910684
ALL_BASELINE,biopmdt_to_biopsy,7,4.842105263157895,2.0072966313133374
ALL_BASELINE,biopmdt_to_biopsy,8,4.65,2.007223796297028
ALL_BASELINE,biopmdt_to_biopsy,9,6.65,2.345768867332706
ALL_BASELINE,biopmdt_to_biopsy,10,5.35,2.1588252165910684
ALL_BASELINE,biopmdt_to_biopsy,11,3.95,2.54382637606794
ALL_BASELINE,biopmdt_to_biopsy,12,5.5,2.064741604835056
ALL_BASELINE,biopmdt_to_biopsy,13,4.7,1.7501879598308412
ALL_BASELINE,biopmdt_to_biopsy,14,5.2,2.566997016790344
ALL_BASELINE,biopmdt_to_biopsy,15,5.5,1.9867985355975657
ALL_BASELINE,biopmdt_to_biopsy,16,5.5,1.820930936000652
ALL_BASELINE,biopmdt_to_biopsy,17,4.75,2.0487480130686233
ALL_BASELINE,biopmdt_to_biopsy,18,5.6,1.8467610337532774
ALL_BASELINE,biopmdt_to_biopsy,19,5.3,2.4516374764204993
ALL_BASELINE,biopmdt_to_biopsy,20,5.7,2.002629849919718
ALL_BASELINE,biopmdt_to_biopsy,21,4.65,1.8431951662948316
ALL_BASELINE,biopmdt_to_biopsy,22,6.5,2.1398475105532757
ALL_BASELINE,biopmdt_to_biopsy,23,4.9,1.99736668746891
ALL_BASELINE,biopmdt_to_biopsy,24,5.95,3.3478194002726767
ALL_BASELINE,biopmdt_to_biopsy,25,5.25,1.6503588126605426
ALL_BASELINE,biopmdt_to_biopsy,26,4.8,2.041671142136162
ALL_BASELINE,biopmdt_to_biopsy,27,5.15,1.6630662866176473
ALL_BASELINE,biopmdt_to_biopsy,28,4.1,1.9439514830419642
ALL_BASELINE,biopmdt_to_biopsy,29,5.0,1.8918106058538346
ALL_BASELINE,biopmdt_to_biopsy,30,4.8,2.483630619200766
ALL_BASELINE,biopmdt_to_biopsy,31,5.55,2.0641042405337657
ALL_BASELINE,biopmdt_to_biopsy,32,5.2,1.9628121608924702
ALL_BASELINE,biopmdt_to_biopsy,33,5.3,2.515216847405743
ALL_BASELINE,biopmdt_to_biopsy,34,5.1,2.2687812633774618
ALL_BASELINE,biopmdt_to_biopsy,35,4.85,1.8144159564878983
ALL_BASELINE,biopmdt_to_biopsy,36,6.25,2.2912878474779204
ALL_BASELINE,biopmdt_to_biopsy,37,4.85,1.8144159564878983
ALL_BASELINE,biopmdt_to_biopsy,38,5.9,2.447340124341226
ALL_BASELINE,biopmdt_to_biopsy,39,5.4,2.2803508501982757
ALL_BASELINE,biopmdt_to_biopsy,40,5.8,1.9894458366193601
ALL_BASELINE,biopmdt_to_biopsy,41,5.157894736842105,2.2916068572737545
ALL_BASELINE,biopmdt_to_biopsy,42,6.15,3.265046142980138
ALL_BASELINE,biopmdt_to_biopsy,43,4.15,2.0589982234597795
ALL_BASELINE,biopmdt_to_biopsy,44,5.2,1.9628121608924702
ALL_BASELINE,biopmdt_to_biopsy,45,5.8,2.4192212753171978
ALL_BASELINE,biopmdt_to_biopsy,46,5.6,3.1689280937184257
ALL_BASELINE,biopmdt_to_biopsy,47,4.7,2.677390717215472
ALL_BASELINE,biopmdt_to_biopsy,48,3.230769230769231,1.4232501627054275
ALL_BASELINE,biopmdt_to_biopsy,49,3.5,2.1213203435596424
ALL_BASELINE,biopsy_to_pathrep,0,2.45,1.5035046776746235
ALL_BASELINE,biopsy_to_pathrep,1,2.3076923076923075,1.1821319289469756
ALL_BASELINE,biopsy_to_pathrep,2,2.95,1.5719582155957412
ALL_BASELINE,biopsy_to_pathrep,3,3.3684210526315788,1.4224597754824202
ALL_BASELINE,biopsy_to_pathrep,4,4.7,1.6254554017744982
ALL_BASELINE,biopsy_to_pathrep,5,4.315789473684211,2.1616000138515545
ALL_BASELINE,biopsy_to_pathrep,6,4.9,2.074912807299318
ALL_BASELINE,biopsy_to_pathrep,7,4.9,2.5731406163633865
ALL_BASELINE,biopsy_to_pathrep,8,5.75,3.024026594146497
ALL_BASELINE,biopsy_to_pathrep,9,5.3,2.341839133312916
ALL_BASELINE,biopsy_to_pathrep,10,5.1,2.4039441275580953
ALL_BASELINE,biopsy_to_pathrep,11,5.1,2.1001253095445223
