scenario,stage,n,mean_wait,median_wait,p90_wait
ALL_BASELINE,biopsy_to_pathrep,4110,8.620194647201947,7.0,15.0
ALL_BASELINE,mri_to_report,7382,7.33920346789488,7.0,14.0
ALL_BASELINE,ref_to_mri,7382,24.11433215930642,22.0,38.0
ALL_BASELINE,report_to_biopmdt,7382,5.22947710647521,6.0,8.0
ALL_BASELINE,treatmdt_to_outpat,3314,11.17833433916717,12.0,13.0
ALL_PROSTAD,biopsy_to_pathrep,2138,8.57623947614593,7.0,15.0
ALL_PROSTAD,mri_to_report,3795,1.0,1.0,1.0
ALL_PROSTAD,ref_to_mri,3795,91.52094861660079,91.0,165.0
ALL_PROSTAD,report_to_biopmdt,3795,0.0,0.0,0.0
ALL_PROSTAD,treatmdt_to_outpat,1722,11.152729384436702,12.0,13.0
OBS_MIX,biopsy_to_pathrep,4100,8.609268292682927,7.0,15.0
OBS_MIX,mri_to_report,7336,4.173936750272628,1.0,11.0
OBS_MIX,ref_to_mri,7336,23.06515812431843,21.0,43.0
OBS_MIX,report_to_biopmdt,7336,2.598555070883315,0.0,7.0
OBS_MIX,treatmdt_to_outpat,3307,11.154823102509827,12.0,13.0
BASELINE_REAL,biopmdt_to_biopsy,69,27.92753623188406,23.0,44.20000000000002
BASELINE_REAL,biopsy_to_pathrep,64,8.734375,7.0,15.700000000000003
BASELINE_REAL,mri_to_report,150,7.406666666666666,7.0,14.0
BASELINE_REAL,pathrep_to_treatmdt,49,10.73469387755102,9.0,21.0
BASELINE_REAL,ref_to_mri,150,25.28,22.0,42.099999999999994
BASELINE_REAL,report_to_biopmdt,147,5.238095238095238,6.0,8.0
BASELINE_REAL,treatmdt_to_outpat,49,11.183673469387756,12.0,13.0
OBS_MIX_REAL,biopmdt_to_biopsy,72,33.416666666666664,23.0,70.6
OBS_MIX_REAL,biopsy_to_pathrep,72,10.222222222222221,8.0,14.0
OBS_MIX_REAL,pathrep_to_treatmdt,57,15.228070175438596,9.0,39.599999999999994
OBS_MIX_REAL,ref_to_mri,152,13.125,13.0,19.0
OBS_MIX_REAL,treatmdt_to_outpat,44,10.113636363636363,12.0,12.0
