scenario,event,count
ALL_MC_BASELINE,referral_received,147
ALL_MC_BASELINE,mri_performed,136
ALL_MC_BASELINE,mri_report_ready,136
ALL_MC_BASELINE,MDT_occured,136
ALL_MC_BASELINE,biopsy_done,72
ALL_MC_BASELINE,Path_report_recieved,69
ALL_MC_BASELINE,Path_report_outcome,69
ALL_MC_BASELINE,Treatment_options_MDT_occured,58
ALL_MC_BASELINE,Outpatient_appointment_occured,57
PROSTAD,referral_received,133
PROSTAD,mri_performed,127
PROSTAD,mri_report_ready,127
PROSTAD,MDT_occured,127
PROSTAD,biopsy_done,77
PROSTAD,Path_report_recieved,75
PROSTAD,Path_report_outcome,75
PROSTAD,Treatment_options_MDT_occured,58
PROSTAD,Outpatient_appointment_occured,57
