scenario,window_start,window_end,event,count_in_last_window
ALL_MC_BASELINE,2026-12-04,2027-01-03,mri_performed,12
ALL_MC_BASELINE,2026-12-04,2027-01-03,biopsy_done,4
ALL_MC_BASELINE,2026-12-04,2027-01-03,Path_report_recieved,3
ALL_MC_BASELINE,2026-12-04,2027-01-03,Treatment_options_MDT_occured,3
ALL_MC_BASELINE,2026-12-04,2027-01-03,Outpatient_appointment_occured,6
PROSTAD,2026-12-05,2027-01-04,mri_performed,12
PROSTAD,2026-12-05,2027-01-04,biopsy_done,5
PROSTAD,2026-12-05,2027-01-04,Path_report_recieved,5
PROSTAD,2026-12-05,2027-01-04,Treatment_options_MDT_occured,5
PROSTAD,2026-12-05,2027-01-04,Outpatient_appointment_occured,5
