scenario,seed,event,count
ALL_MC_BASELINE,1,referral_received,139
ALL_MC_BASELINE,1,mri_performed,129
ALL_MC_BASELINE,1,mri_report_ready,129
ALL_MC_BASELINE,1,MDT_occured,129
ALL_MC_BASELINE,1,biopsy_done,73
ALL_MC_BASELINE,1,Path_report_recieved,70
ALL_MC_BASELINE,1,Path_report_outcome,70
ALL_MC_BASELINE,1,Treatment_options_MDT_occured,57
ALL_MC_BASELINE,1,Outpatient_appointment_occured,55
PROSTAD,1,referral_received,139
PROSTAD,1,mri_performed,133
PROSTAD,1,mri_report_ready,133
PROSTAD,1,MDT_occured,133
PROSTAD,1,biopsy_done,73
PROSTAD,1,Path_report_recieved,70
PROSTAD,1,Path_report_outcome,70
PROSTAD,1,Treatment_options_MDT_occured,55
PROSTAD,1,Outpatient_appointment_occured,53
ALL_MC_BASELINE,2,referral_received,161
ALL_MC_BASELINE,2,mri_performed,148
ALL_MC_BASELINE,2,mri_report_ready,147
ALL_MC_BASELINE,2,MDT_occured,147
ALL_MC_BASELINE,2,biopsy_done,78
ALL_MC_BASELINE,2,Path_report_recieved,75
ALL_MC_BASELINE,2,Path_report_outcome,75
ALL_MC_BASELINE,2,Treatment_options_MDT_occured,55
ALL_MC_BASELINE,2,Outpatient_appointment_occured,53
PROSTAD,2,referral_received,161
PROSTAD,2,mri_performed,154
PROSTAD,2,mri_report_ready,154
PROSTAD,2,MDT_occured,154
PROSTAD,2,biopsy_done,74
PROSTAD,2,Path_report_recieved,73
PROSTAD,2,Path_report_outcome,73
PROSTAD,2,Treatment_options_MDT_occured,55
PROSTAD,2,Outpatient_appointment_occured,52
ALL_MC_BASELINE,3,referral_received,156
ALL_MC_BASELINE,3,mri_performed,149
ALL_MC_BASELINE,3,mri_report_ready,148
ALL_MC_BASELINE,3,MDT_occured,148
ALL_MC_BASELINE,3,biopsy_done,77
ALL_MC_BASELINE,3,Path_report_recieved,74
ALL_MC_BASELINE,3,Path_report_outcome,74
ALL_MC_BASELINE,3,Treatment_options_MDT_occured,57
ALL_MC_BASELINE,3,Outpatient_appointment_occured,57
PROSTAD,3,referral_received,156
PROSTAD,3,mri_performed,151
PROSTAD,3,mri_report_ready,151
PROSTAD,3,MDT_occured,151
PROSTAD,3,biopsy_done,82
PROSTAD,3,Path_report_recieved,79
PROSTAD,3,Path_report_outcome,79
PROSTAD,3,Treatment_options_MDT_occured,61
PROSTAD,3,Outpatient_appointment_occured,60
ALL_MC_BASELINE,4,referral_received,184
ALL_MC_BASELINE,4,mri_performed,178
ALL_MC_BASELINE,4,mri_report_ready,178
ALL_MC_BASELINE,4,MDT_occured,178
ALL_MC_BASELINE,4,biopsy_done,95
ALL_MC_BASELINE,4,Path_report_recieved,92
ALL_MC_BASELINE,4,Path_report_outcome,92
ALL_MC_BASELINE,4,Treatment_options_MDT_occured,73
ALL_MC_BASELINE,4,Outpatient_appointment_occured,68
PROSTAD,4,referral_received,184
PROSTAD,4,mri_performed,178
PROSTAD,4,mri_report_ready,178
PROSTAD,4,MDT_occured,178
PROSTAD,4,biopsy_done,95
PROSTAD,4,Path_report_recieved,94
PROSTAD,4,Path_report_outcome,94
PROSTAD,4,Treatment_options_MDT_occured,77
PROSTAD,4,Outpatient_appointment_occured,74
ALL_MC_BASELINE,5,referral_received,137
ALL_MC_BASELINE,5,mri_performed,129
ALL_MC_BASELINE,5,mri_report_ready,129
ALL_MC_BASELINE,5,MDT_occured,129
ALL_MC_BASELINE,5,biopsy_done,70
ALL_MC_BASELINE,5,Path_report_recieved,67
