scenario,seed,window_start,window_end,event,count_in_last_window
ALL_MC_BASELINE,1,2026-12-05,2027-01-04,mri_performed,9
ALL_MC_BASELINE,1,2026-12-05,2027-01-04,biopsy_done,7
ALL_MC_BASELINE,1,2026-12-05,2027-01-04,Path_report_recieved,6
ALL_MC_BASELINE,1,2026-12-05,2027-01-04,Treatment_options_MDT_occured,6
ALL_MC_BASELINE,1,2026-12-05,2027-01-04,Outpatient_appointment_occured,5
PROSTAD,1,2026-12-05,2027-01-04,mri_performed,11
PROSTAD,1,2026-12-05,2027-01-04,biopsy_done,7
PROSTAD,1,2026-12-05,2027-01-04,Path_report_recieved,6
PROSTAD,1,2026-12-05,2027-01-04,Treatment_options_MDT_occured,5
PROSTAD,1,2026-12-05,2027-01-04,Outpatient_appointment_occured,4
ALL_MC_BASELINE,2,2026-12-05,2027-01-04,mri_performed,13
ALL_MC_BASELINE,2,2026-12-05,2027-01-04,biopsy_done,8
ALL_MC_BASELINE,2,2026-12-05,2027-01-04,Path_report_recieved,5
ALL_MC_BASELINE,2,2026-12-05,2027-01-04,Treatment_options_MDT_occured,2
ALL_MC_BASELINE,2,2026-12-05,2027-01-04,Outpatient_appointment_occured,5
PROSTAD,2,2026-12-05,2027-01-04,mri_performed,16
PROSTAD,2,2026-12-05,2027-01-04,biopsy_done,7
PROSTAD,2,2026-12-05,2027-01-04,Path_report_recieved,7
PROSTAD,2,2026-12-05,2027-01-04,Treatment_options_MDT_occured,8
PROSTAD,2,2026-12-05,2027-01-04,Outpatient_appointment_occured,5
ALL_MC_BASELINE,3,2026-12-05,2027-01-04,mri_performed,14
ALL_MC_BASELINE,3,2026-12-05,2027-01-04,biopsy_done,7
ALL_MC_BASELINE,3,2026-12-05,2027-01-04,Path_report_recieved,5
ALL_MC_BASELINE,3,2026-12-05,2027-01-04,Treatment_options_MDT_occured,8
ALL_MC_BASELINE,3,2026-12-05,2027-01-04,Outpatient_appointment_occured,8
PROSTAD,3,2026-12-05,2027-01-04,mri_performed,11
PROSTAD,3,2026-12-05,2027-01-04,biopsy_done,9
PROSTAD,3,2026-12-05,2027-01-04,Path_report_recieved,9
PROSTAD,3,2026-12-05,2027-01-04,Treatment_options_MDT_occured,9
PROSTAD,3,2026-12-05,2027-01-04,Outpatient_appointment_occured,12
ALL_MC_BASELINE,4,2026-12-05,2027-01-04,mri_performed,18
ALL_MC_BASELINE,4,2026-12-05,2027-01-04,biopsy_done,11
