scenario,event,count_in_last_window_mean,count_in_last_window_std
ALL_MC_BASELINE,Outpatient_appointment_occured,6.05,1.79105966869954
ALL_MC_BASELINE,Path_report_recieved,7.8,2.3753116139062462
ALL_MC_BASELINE,Treatment_options_MDT_occured,6.35,2.2307657406087453
ALL_MC_BASELINE,biopsy_done,7.2,3.0017538732863285
ALL_MC_BASELINE,mri_performed,12.1,3.945683851074688
PROSTAD,Outpatient_appointment_occured,5.8,2.067289096988207
PROSTAD,Path_report_recieved,7.35,2.4553914898486258
PROSTAD,Treatment_options_MDT_occured,6.0,1.7770466332772772
PROSTAD,biopsy_done,6.65,2.0072237962970276
PROSTAD,mri_performed,11.6,2.927186542164947
