scenario,seed,resource,mean_queue_len,peak_queue_len,mean_wait,peak_wait,n_wait_observations
ALL_MC_BASELINE,1,MRI,0.0,0,0.0,0,0
ALL_MC_BASELINE,1,Biopsy,0.0,0,0.0,0,0
ALL_MC_BASELINE,1,MRI_REPORT,0.0,0,0.0,0,0
ALL_MC_BASELINE,1,BIOPSY_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,1,PATHOLOGY,0.0,0,0.0,0,0
ALL_MC_BASELINE,1,TREATMENT_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,1,OUTPATIENT,0.0,0,0.0,0,0
PROSTAD,1,MRI,1.189041095890411,6,3.1654135338345863,13,133
PROSTAD,1,Biopsy,0.0,0,0.0,0,0
PROSTAD,1,MRI_REPORT,0.0,0,0.0,0,0
PROSTAD,1,BIOPSY_MDT,0.0,0,0.0,0,0
PROSTAD,1,PATHOLOGY,0.0,0,0.0,0,0
PROSTAD,1,TREATMENT_MDT,0.0,0,0.0,0,0
PROSTAD,1,OUTPATIENT,0.0,0,0.0,0,0
ALL_MC_BASELINE,2,MRI,0.0,0,0.0,0,0
ALL_MC_BASELINE,2,Biopsy,0.0,0,0.0,0,0
ALL_MC_BASELINE,2,MRI_REPORT,0.0,0,0.0,0,0
ALL_MC_BASELINE,2,BIOPSY_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,2,PATHOLOGY,0.0,0,0.0,0,0
ALL_MC_BASELINE,2,TREATMENT_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,2,OUTPATIENT,0.0,0,0.0,0,0
PROSTAD,2,MRI,2.2164383561643834,8,5.1688311688311686,14,154
PROSTAD,2,Biopsy,0.0,0,0.0,0,0
PROSTAD,2,MRI_REPORT,0.0,0,0.0,0,0
PROSTAD,2,BIOPSY_MDT,0.0,0,0.0,0,0
PROSTAD,2,PATHOLOGY,0.0,0,0.0,0,0
PROSTAD,2,TREATMENT_MDT,0.0,0,0.0,0,0
PROSTAD,2,OUTPATIENT,0.0,0,0.0,0,0
ALL_MC_BASELINE,3,MRI,0.0,0,0.0,0,0
ALL_MC_BASELINE,3,Biopsy,0.0,0,0.0,0,0
ALL_MC_BASELINE,3,MRI_REPORT,0.0,0,0.0,0,0
ALL_MC_BASELINE,3,BIOPSY_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,3,PATHOLOGY,0.0,0,0.0,0,0
ALL_MC_BASELINE,3,TREATMENT_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,3,OUTPATIENT,0.0,0,0.0,0,0
PROSTAD,3,MRI,1.6082191780821917,9,3.8609271523178808,15,151
PROSTAD,3,Biopsy,0.0,0,0.0,0,0
PROSTAD,3,MRI_REPORT,0.0,0,0.0,0,0
PROSTAD,3,BIOPSY_MDT,0.0,0,0.0,0,0
PROSTAD,3,PATHOLOGY,0.0,0,0.0,0,0
PROSTAD,3,TREATMENT_MDT,0.0,0,0.0,0,0
PROSTAD,3,OUTPATIENT,0.0,0,0.0,0,0
ALL_MC_BASELINE,4,MRI,0.0,0,0.0,0,0
ALL_MC_BASELINE,4,Biopsy,0.0,0,0.0,0,0
ALL_MC_BASELINE,4,MRI_REPORT,0.0,0,0.0,0,0
ALL_MC_BASELINE,4,BIOPSY_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,4,PATHOLOGY,0.0,0,0.0,0,0
ALL_MC_BASELINE,4,TREATMENT_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,4,OUTPATIENT,0.0,0,0.0,0,0
PROSTAD,4,MRI,3.3013698630136985,11,6.674157303370786,19,178
