scenario,resource,mean_queue_len_mean,mean_queue_len_std,peak_queue_len_mean,peak_queue_len_std,mean_wait_mean,mean_wait_std
ALL_MC_BASELINE,BIOPSY_MDT,0.0,0.0,0.0,0.0,0.0,0.0
ALL_MC_BASELINE,Biopsy,0.0,0.0,0.0,0.0,0.0,0.0
ALL_MC_BASELINE,MRI,0.0,0.0,0.0,0.0,0.0,0.0
ALL_MC_BASELINE,MRI_REPORT,0.0,0.0,0.0,0.0,0.0,0.0
ALL_MC_BASELINE,OUTPATIENT,0.0,0.0,0.0,0.0,0.0,0.0
ALL_MC_BASELINE,PATHOLOGY,0.0,0.0,0.0,0.0,0.0,0.0
ALL_MC_BASELINE,TREATMENT_MDT,0.0,0.0,0.0,0.0,0.0,0.0
PROSTAD,BIOPSY_MDT,0.0,0.0,0.0,0.0,0.0,0.0
PROSTAD,Biopsy,0.0,0.0,0.0,0.0,0.0,0.0
PROSTAD,MRI,1.7534246575342465,0.552553798815711,7.35,1.6944180805158293,4.243853258708768,0.9400861338661206
PROSTAD,MRI_REPORT,0.0,0.0,0.0,0.0,0.0,0.0
PROSTAD,OUTPATIENT,0.0,0.0,0.0,0.0,0.0,0.0
PROSTAD,PATHOLOGY,0.0,0.0,0.0,0.0,0.0,0.0
PROSTAD,TREATMENT_MDT,0.0,0.0,0.0,0.0,0.0,0.0
