scenario,seed,stage,mean_weekly_arrivals,peak_weekly_arrivals,std_weekly_arrivals,n_weeks,total_arrivals,mean_daily_arrivals,peak_daily_arrivals,mean_in_stage,peak_in_stage,total_completed,completion_ratio
ALL_MC_BASELINE,1,ref_to_mri,2.9574468085106385,7.0,1.3980957050109368,47,139,1.287037037037037,3,8.575342465753424,17,129,0.9280575539568345
ALL_MC_BASELINE,1,mri_to_report,2.6875,6.0,1.3707623286704838,48,129,1.2647058823529411,4,0.35342465753424657,4,129,1.0
ALL_MC_BASELINE,1,report_to_biopmdt,2.6875,6.0,1.3861971552385646,48,129,1.2647058823529411,4,0.0,0,129,1.0
ALL_MC_BASELINE,1,biopmdt_to_biopsy,1.853658536585366,3.0,0.7602951929926987,41,76,1.1515151515151516,3,5.427397260273972,10,73,0.9605263157894737
ALL_MC_BASELINE,1,biopsy_to_pathrep,1.9210526315789473,4.0,0.9410051827231382,38,73,1.0735294117647058,2,1.8054794520547945,7,70,0.958904109589041
ALL_MC_BASELINE,1,pathrep_to_treatmdt,1.6571428571428573,4.0,0.8725505932695972,35,58,1.0357142857142858,2,1.9534246575342467,6,57,0.9827586206896551
ALL_MC_BASELINE,1,treatmdt_to_outpat,1.9,4.0,0.9948141396330236,30,57,1.14,2,1.7013698630136986,6,55,0.9649122807017544
PROSTAD,1,ref_to_mri,2.9574468085106385,7.0,1.3980957050109368,47,139,1.287037037037037,3,1.189041095890411,6,133,0.9568345323741008
PROSTAD,1,mri_to_report,2.8297872340425534,4.0,1.0492056816669377,47,133,2.8297872340425534,4,0.3643835616438356,4,133,1.0
PROSTAD,1,report_to_biopmdt,2.8297872340425534,4.0,1.0492056816669377,47,133,2.8297872340425534,4,0.0,0,133,1.0
PROSTAD,1,biopmdt_to_biopsy,2.081081081081081,3.0,0.8292693697995168,37,77,2.081081081081081,3,5.473972602739726,11,73,0.948051948051948
PROSTAD,1,biopsy_to_pathrep,1.972972972972973,5.0,1.166344871965561,37,73,1.2586206896551724,3,1.704109589041096,5,70,0.958904109589041
PROSTAD,1,pathrep_to_treatmdt,1.5714285714285714,4.0,0.7778444682625973,35,55,1.1,2,1.5205479452054795,4,55,1.0
PROSTAD,1,treatmdt_to_outpat,1.4864864864864864,4.0,0.7681732162019775,37,55,1.1224489795918366,3,1.5671232876712329,5,53,0.9636363636363636
ALL_MC_BASELINE,2,ref_to_mri,3.22,7.0,1.717734625865695,50,161,1.376068376068376,4,10.43013698630137,17,148,0.9192546583850931
ALL_MC_BASELINE,2,mri_to_report,3.148936170212766,9.0,1.9997687192822566,47,148,1.1935483870967742,4,0.4054794520547945,4,147,0.9932432432432432
ALL_MC_BASELINE,2,report_to_biopmdt,3.127659574468085,9.0,1.929372744168152,47,147,1.1951219512195121,4,0.0,0,147,1.0
ALL_MC_BASELINE,2,biopmdt_to_biopsy,2.1463414634146343,6.0,1.236142702315475,41,88,1.0864197530864197,2,6.53972602739726,12,78,0.8863636363636364
ALL_MC_BASELINE,2,biopsy_to_pathrep,1.8571428571428572,6.0,1.1805626722019107,42,78,1.164179104477612,3,1.7835616438356163,7,75,0.9615384615384616
ALL_MC_BASELINE,2,pathrep_to_treatmdt,1.6764705882352942,4.0,0.767545803007739,34,57,1.0363636363636364,2,1.7863013698630137,5,55,0.9649122807017544
ALL_MC_BASELINE,2,treatmdt_to_outpat,1.9642857142857142,4.0,0.8380817098475257,28,55,1.0784313725490196,2,1.6958904109589041,6,53,0.9636363636363636
PROSTAD,2,ref_to_mri,3.22,7.0,1.717734625865695,50,161,1.376068376068376,4,2.2164383561643834,8,154,0.9565217391304348
PROSTAD,2,mri_to_report,3.2083333333333335,4.0,1.1290804643759722,48,154,3.2083333333333335,4,0.42191780821917807,4,154,1.0
PROSTAD,2,report_to_biopmdt,3.2083333333333335,4.0,1.1290804643759722,48,154,3.2083333333333335,4,0.0,0,154,1.0
PROSTAD,2,biopmdt_to_biopsy,1.9047619047619047,4.0,0.8781778199154231,42,80,1.9047619047619047,4,5.93972602739726,12,74,0.925
PROSTAD,2,biopsy_to_pathrep,1.9473684210526316,4.0,1.1137316970571824,38,74,1.121212121212121,3,1.8246575342465754,5,73,0.9864864864864865
PROSTAD,2,pathrep_to_treatmdt,1.6571428571428573,4.0,0.8725505932695972,35,58,1.1372549019607843,3,1.7561643835616438,5,55,0.9482758620689655
PROSTAD,2,treatmdt_to_outpat,1.7741935483870968,4.0,0.8835412617927488,31,55,1.0576923076923077,2,1.6712328767123288,5,52,0.9454545454545454
ALL_MC_BASELINE,3,ref_to_mri,2.943396226415094,7.0,1.5369186748368988,53,156,1.2580645161290323,3,9.4,19,149,0.9551282051282052
ALL_MC_BASELINE,3,mri_to_report,3.0408163265306123,6.0,1.457154528431316,49,149,1.1825396825396826,4,0.40821917808219177,4,148,0.9932885906040269
ALL_MC_BASELINE,3,report_to_biopmdt,3.148936170212766,6.0,1.474105821879168,47,148,1.184,4,0.0,0,148,1.0
ALL_MC_BASELINE,3,biopmdt_to_biopsy,1.9761904761904763,5.0,1.0238162763464755,42,83,1.0921052631578947,3,5.564383561643836,13,77,0.927710843373494
ALL_MC_BASELINE,3,biopsy_to_pathrep,1.9743589743589745,6.0,1.1352528002070148,39,77,1.1159420289855073,3,1.7780821917808218,7,74,0.961038961038961
ALL_MC_BASELINE,3,pathrep_to_treatmdt,1.5945945945945945,4.0,0.8647240876416867,37,59,1.0925925925925926,2,1.6575342465753424,6,57,0.9661016949152542
ALL_MC_BASELINE,3,treatmdt_to_outpat,1.78125,5.0,1.0075321174741456,32,57,1.0178571428571428,2,1.747945205479452,6,57,1.0
PROSTAD,3,ref_to_mri,2.943396226415094,7.0,1.5369186748368988,53,156,1.2580645161290323,3,1.6082191780821917,9,151,0.967948717948718
PROSTAD,3,mri_to_report,3.0816326530612246,4.0,1.0769697978951087,49,151,3.0816326530612246,4,0.4136986301369863,4,151,1.0
PROSTAD,3,report_to_biopmdt,3.0816326530612246,4.0,1.0769697978951087,49,151,3.0816326530612246,4,0.0,0,151,1.0
PROSTAD,3,biopmdt_to_biopsy,1.9130434782608696,3.0,0.8117494675499536,46,88,1.9130434782608696,3,6.2684931506849315,12,82,0.9318181818181818
PROSTAD,3,biopsy_to_pathrep,2.1578947368421053,7.0,1.2633356916122018,38,82,1.3442622950819672,3,1.7397260273972603,7,79,0.9634146341463414
PROSTAD,3,pathrep_to_treatmdt,1.9375,5.0,1.2164862143392416,32,62,1.1272727272727272,3,1.726027397260274,7,61,0.9838709677419355
PROSTAD,3,treatmdt_to_outpat,2.033333333333333,5.0,1.0980651740387641,30,61,1.1090909090909091,2,1.6054794520547946,5,60,0.9836065573770492
ALL_MC_BASELINE,4,ref_to_mri,3.607843137254902,7.0,1.5630538234181064,51,184,1.3333333333333333,4,12.364383561643836,20,178,0.967391304347826
ALL_MC_BASELINE,4,mri_to_report,3.63265306122449,7.0,1.740376845578523,49,178,1.2624113475177305,4,0.4876712328767123,4,178,1.0
ALL_MC_BASELINE,4,report_to_biopmdt,3.56,9.0,1.8312480410242358,50,178,1.2624113475177305,4,0.0,0,178,1.0
ALL_MC_BASELINE,4,biopmdt_to_biopsy,2.272727272727273,6.0,1.3182729428297617,44,100,1.1764705882352942,4,7.53972602739726,14,95,0.95
ALL_MC_BASELINE,4,biopsy_to_pathrep,2.2093023255813953,5.0,1.2062957770220077,43,95,1.144578313253012,2,2.293150684931507,6,92,0.968421052631579
ALL_MC_BASELINE,4,pathrep_to_treatmdt,2.272727272727273,5.0,1.1798497593106736,33,75,1.1363636363636365,2,2.2164383561643834,9,73,0.9733333333333334
ALL_MC_BASELINE,4,treatmdt_to_outpat,2.0277777777777777,6.0,1.2067929426165893,36,73,1.0895522388059702,2,2.191780821917808,7,68,0.9315068493150684
PROSTAD,4,ref_to_mri,3.607843137254902,7.0,1.5630538234181064,51,184,1.3333333333333333,4,3.3013698630136985,11,178,0.967391304347826
PROSTAD,4,mri_to_report,3.63265306122449,4.0,0.7272630642524412,49,178,3.63265306122449,4,0.4876712328767123,4,178,1.0
PROSTAD,4,report_to_biopmdt,3.63265306122449,4.0,0.7272630642524412,49,178,3.63265306122449,4,0.0,0,178,1.0
PROSTAD,4,biopmdt_to_biopsy,2.125,4.0,0.9812063786211382,48,102,2.125,4,7.438356164383562,13,95,0.9313725490196079
PROSTAD,4,biopsy_to_pathrep,2.375,7.0,1.3337339141845925,40,95,1.3380281690140845,3,2.3424657534246576,8,94,0.9894736842105263
PROSTAD,4,pathrep_to_treatmdt,2.25,6.0,1.105182596419511,36,81,1.125,3,2.5753424657534247,9,77,0.9506172839506173
PROSTAD,4,treatmdt_to_outpat,2.2,6.0,1.301582746911937,35,77,1.1,2,2.410958904109589,8,74,0.961038961038961
ALL_MC_BASELINE,5,ref_to_mri,2.6862745098039214,6.0,1.3926980444939436,51,137,1.2685185185185186,3,8.419178082191781,16,129,0.9416058394160584
ALL_MC_BASELINE,5,mri_to_report,2.8043478260869565,7.0,1.6278078676877934,46,129,1.2647058823529411,3,0.35342465753424657,3,129,1.0
