stage_1,stage_2,n,spearman_rho,spearman_p,kendall_tau,kendall_p
wait_ref_to_mri,wait_mri_to_report,150,0.20345233345811597,0.012521311977309166,0.1372235506694707,0.017159611847696543
wait_ref_to_mri,wait_report_to_biopmdt,147,-0.0818359717251916,0.3244315307662339,-0.056869655013030006,0.34050837458494343
wait_ref_to_mri,wait_biopmdt_to_biopsy,69,0.2222783029600952,0.06640365917052833,0.1514023315504583,0.07782506739349988
wait_ref_to_mri,wait_biopsy_to_pathreport,64,0.04122826341748364,0.7463445699610182,0.029305413590064458,0.7438041421154301
wait_ref_to_mri,wait_pathrep_to_treatmdt,49,-0.08328151129033352,0.5694166484723392,-0.06161194873454945,0.5537199487910017
wait_ref_to_mri,wait_treatmdt_to_outpat,49,-0.08344299177408443,0.5686656199146494,-0.04885993744548688,0.6511258498485439
wait_mri_to_report,wait_report_to_biopmdt,147,0.12479909000471921,0.1320451472270896,0.08682580598332372,0.15242492403429936
wait_mri_to_report,wait_biopmdt_to_biopsy,69,-0.005298820228733924,0.9655329494462362,-0.0013777328891366786,0.9874557192301229
wait_mri_to_report,wait_biopsy_to_pathreport,64,0.08772158521785227,0.4906522370503991,0.06397864256842767,0.4850815095904073
wait_mri_to_report,wait_pathrep_to_treatmdt,49,-0.3765999337068917,0.007650269962240178,-0.2901194210290276,0.006192184228632481
wait_mri_to_report,wait_treatmdt_to_outpat,49,-0.08294362275623926,0.5709896125930146,-0.0688834444966899,0.5310023246247874
wait_report_to_biopmdt,wait_biopmdt_to_biopsy,68,-0.006899065518630234,0.955471624029309,-0.010296214660376914,0.9097344155131641
wait_report_to_biopmdt,wait_biopsy_to_pathreport,62,0.030684525197971078,0.8128515981054958,0.023074188526304794,0.8091780439720341
wait_report_to_biopmdt,wait_pathrep_to_treatmdt,47,-0.2691009522281038,0.06738636106026803,-0.2072107407738045,0.062153425041185546
wait_report_to_biopmdt,wait_treatmdt_to_outpat,47,-0.13663435765724022,0.3597721129854647,-0.10075948066050107,0.38406306261517653
wait_biopmdt_to_biopsy,wait_biopsy_to_pathreport,63,0.166573671011109,0.19196125855136237,0.11575744786930281,0.2094015297765991
wait_biopmdt_to_biopsy,wait_pathrep_to_treatmdt,48,-0.1582878802861547,0.2825828577163453,-0.12963461720700128,0.22899365817782769
wait_biopmdt_to_biopsy,wait_treatmdt_to_outpat,48,0.013501954762946517,0.9274269807065987,-0.0073831283310649585,0.9474531452832358
wait_biopsy_to_pathreport,wait_pathrep_to_treatmdt,49,0.047118240255457355,0.7478377863923591,0.01208835356836182,0.9094349602953247
wait_biopsy_to_pathreport,wait_treatmdt_to_outpat,47,-0.06785569041692883,0.6504108211386862,-0.04860960620737365,0.665549946210652
wait_pathrep_to_treatmdt,wait_treatmdt_to_outpat,47,-0.0861487083989313,0.564767737996103,-0.06786124141172487,0.5504555689792523
