,demand,completed,waiting,prev_waiting
2023-07-24,3,0,3,
2023-07-31,2,2,3,3.0
2023-08-07,2,3,2,3.0
2023-08-14,1,1,2,2.0
2023-08-21,0,2,0,2.0
2023-09-04,3,0,3,0.0
2023-09-11,0,3,0,3.0
2023-09-25,2,0,2,0.0
2023-10-02,3,0,5,2.0
2023-10-09,5,4,6,5.0
2023-10-16,3,3,6,6.0
2023-10-23,4,6,4,6.0
2023-10-30,1,2,3,4.0
2023-11-06,1,2,2,3.0
2023-11-13,0,1,1,2.0
2023-11-20,0,1,0,1.0
2023-12-11,1,0,1,0.0
2023-12-18,0,1,0,1.0
2023-12-25,1,0,1,0.0
2024-01-08,0,1,0,1.0
2024-01-29,1,1,0,0.0
2024-02-05,3,0,3,0.0
2024-02-12,3,3,3,3.0
2024-02-19,2,3,2,3.0
2024-02-26,1,2,1,2.0
2024-03-04,4,1,4,1.0
2024-03-11,4,3,5,4.0
2024-03-18,2,5,2,5.0
2024-04-01,0,1,1,2.0
2024-04-08,5,0,6,1.0
2024-04-15,2,4,4,6.0
2024-04-22,0,1,3,4.0
2024-04-29,3,2,4,3.0
2024-05-06,1,2,3,4.0
2024-05-13,1,2,2,3.0
2024-05-20,0,1,1,2.0
2024-05-27,0,1,0,1.0
