stage_entry_date,n_patients,stage_name,dataset
2023-05-15,1,ref_to_mri,pre
2023-05-22,2,ref_to_mri,pre
2023-05-23,1,ref_to_mri,pre
2023-05-26,1,ref_to_mri,pre
2023-05-30,1,ref_to_mri,pre
2023-06-02,3,ref_to_mri,pre
2023-06-06,1,ref_to_mri,pre
2023-06-07,1,ref_to_mri,pre
2023-06-08,2,ref_to_mri,pre
2023-06-12,1,ref_to_mri,pre
2023-06-13,1,ref_to_mri,pre
2023-06-14,2,ref_to_mri,pre
2023-06-15,1,ref_to_mri,pre
2023-06-16,1,ref_to_mri,pre
2023-06-21,1,ref_to_mri,pre
2023-06-22,1,ref_to_mri,pre
2023-06-26,1,ref_to_mri,pre
2023-06-27,1,ref_to_mri,pre
2023-06-28,1,ref_to_mri,pre
2023-07-04,1,ref_to_mri,pre
2023-07-07,1,ref_to_mri,pre
2023-07-10,2,ref_to_mri,pre
2023-07-14,1,ref_to_mri,pre
2023-07-17,2,ref_to_mri,pre
2023-07-18,1,ref_to_mri,pre
2023-07-19,1,ref_to_mri,pre
2023-07-26,1,ref_to_mri,pre
2023-07-28,1,ref_to_mri,pre
2023-08-03,1,ref_to_mri,pre
2023-08-04,2,ref_to_mri,pre
2023-08-07,2,ref_to_mri,pre
2023-08-08,3,ref_to_mri,pre
2023-08-15,1,ref_to_mri,pre
2023-08-16,1,ref_to_mri,pre
2023-08-17,3,ref_to_mri,pre
2023-08-18,1,ref_to_mri,pre
2023-08-21,3,ref_to_mri,pre
2023-08-23,2,ref_to_mri,pre
2023-08-24,1,ref_to_mri,pre
2023-08-25,1,ref_to_mri,pre
2023-08-29,1,ref_to_mri,pre
2023-08-30,1,ref_to_mri,pre
2023-09-01,1,ref_to_mri,pre
2023-09-04,1,ref_to_mri,pre
2023-09-05,2,ref_to_mri,pre
2023-09-06,1,ref_to_mri,pre
2023-09-11,1,ref_to_mri,pre
2023-10-17,1,ref_to_mri,pre
2023-11-13,1,ref_to_mri,pre
2023-11-16,1,ref_to_mri,pre
2023-11-17,1,ref_to_mri,pre
2023-11-21,1,ref_to_mri,pre
2023-11-29,2,ref_to_mri,pre
2023-11-30,1,ref_to_mri,pre
2023-12-05,1,ref_to_mri,pre
2023-12-07,2,ref_to_mri,pre
2023-12-12,1,ref_to_mri,pre
2023-12-15,1,ref_to_mri,pre
2023-12-18,1,ref_to_mri,pre
2023-12-20,1,ref_to_mri,pre
2023-12-22,1,ref_to_mri,pre
2023-12-27,1,ref_to_mri,pre
2024-01-03,1,ref_to_mri,pre
2024-01-04,1,ref_to_mri,pre
2024-01-05,1,ref_to_mri,pre
2024-01-08,1,ref_to_mri,pre
2024-01-09,4,ref_to_mri,pre
2024-01-12,1,ref_to_mri,pre
2024-01-15,1,ref_to_mri,pre
2024-01-17,1,ref_to_mri,pre
2024-01-18,1,ref_to_mri,pre
2024-01-23,1,ref_to_mri,pre
2024-01-29,1,ref_to_mri,pre
2024-01-30,3,ref_to_mri,pre
2024-01-31,2,ref_to_mri,pre
2024-02-06,1,ref_to_mri,pre
2024-02-08,1,ref_to_mri,pre
2024-02-12,2,ref_to_mri,pre
2024-02-14,1,ref_to_mri,pre
2024-02-16,1,ref_to_mri,pre
2024-02-19,2,ref_to_mri,pre
2024-02-22,2,ref_to_mri,pre
2024-02-27,1,ref_to_mri,pre
2024-02-28,1,ref_to_mri,pre
2024-03-01,1,ref_to_mri,pre
2024-03-06,3,ref_to_mri,pre
2024-03-08,3,ref_to_mri,pre
2024-03-13,1,ref_to_mri,pre
2024-03-18,1,ref_to_mri,pre
2024-03-22,1,ref_to_mri,pre
2024-03-25,1,ref_to_mri,pre
2024-03-26,1,ref_to_mri,pre
2024-03-27,2,ref_to_mri,pre
2024-03-28,2,ref_to_mri,pre
2024-04-02,1,ref_to_mri,pre
2024-04-04,2,ref_to_mri,pre
2024-04-09,2,ref_to_mri,pre
2024-04-10,2,ref_to_mri,pre
2024-04-16,3,ref_to_mri,pre
2024-04-17,3,ref_to_mri,pre
2024-04-18,1,ref_to_mri,pre
2024-04-19,1,ref_to_mri,pre
2024-04-22,1,ref_to_mri,pre
2024-04-24,1,ref_to_mri,pre
2024-05-01,3,ref_to_mri,pre
2024-05-02,1,ref_to_mri,pre
2024-05-06,1,ref_to_mri,pre
2023-06-16,1,ref_to_mri,post
2023-06-19,1,ref_to_mri,post
2023-06-20,1,ref_to_mri,post
2023-06-21,1,ref_to_mri,post
2023-06-22,1,ref_to_mri,post
2023-06-25,1,ref_to_mri,post
2023-07-03,1,ref_to_mri,post
2023-07-04,2,ref_to_mri,post
2023-07-05,1,ref_to_mri,post
2023-07-06,1,ref_to_mri,post
2023-07-12,1,ref_to_mri,post
2023-07-17,1,ref_to_mri,post
2023-07-19,2,ref_to_mri,post
2023-07-20,1,ref_to_mri,post
2023-07-24,1,ref_to_mri,post
2023-07-26,1,ref_to_mri,post
2023-08-01,1,ref_to_mri,post
2023-08-03,1,ref_to_mri,post
2023-08-07,2,ref_to_mri,post
2023-08-10,1,ref_to_mri,post
2023-08-29,1,ref_to_mri,post
2023-08-30,1,ref_to_mri,post
2023-09-01,2,ref_to_mri,post
2023-09-04,2,ref_to_mri,post
2023-09-05,1,ref_to_mri,post
2023-09-06,1,ref_to_mri,post
2023-09-07,1,ref_to_mri,post
2023-09-13,1,ref_to_mri,post
2023-09-18,3,ref_to_mri,post
2023-09-19,1,ref_to_mri,post
2023-09-22,4,ref_to_mri,post
2023-09-27,1,ref_to_mri,post
2023-09-28,1,ref_to_mri,post
2023-10-04,2,ref_to_mri,post
2023-10-05,1,ref_to_mri,post
2023-10-12,2,ref_to_mri,post
2023-10-16,1,ref_to_mri,post
2023-10-17,1,ref_to_mri,post
2023-10-19,1,ref_to_mri,post
2023-10-20,1,ref_to_mri,post
2023-10-23,1,ref_to_mri,post
2023-10-26,1,ref_to_mri,post
2023-10-27,1,ref_to_mri,post
2023-10-31,2,ref_to_mri,post
2023-11-06,2,ref_to_mri,post
2023-11-08,3,ref_to_mri,post
2023-11-16,1,ref_to_mri,post
2023-11-17,3,ref_to_mri,post
2023-11-24,1,ref_to_mri,post
2023-11-28,2,ref_to_mri,post
2023-11-29,3,ref_to_mri,post
2023-12-08,1,ref_to_mri,post
2023-12-13,1,ref_to_mri,post
2023-12-18,2,ref_to_mri,post
2023-12-27,1,ref_to_mri,post
2023-12-28,2,ref_to_mri,post
2024-01-03,1,ref_to_mri,post
2024-01-04,1,ref_to_mri,post
2024-01-09,3,ref_to_mri,post
2024-01-10,2,ref_to_mri,post
2024-01-11,1,ref_to_mri,post
2024-01-17,2,ref_to_mri,post
2024-01-19,1,ref_to_mri,post
2024-01-22,1,ref_to_mri,post
2024-01-24,2,ref_to_mri,post
2024-01-25,1,ref_to_mri,post
2024-02-01,1,ref_to_mri,post
2024-02-08,1,ref_to_mri,post
2024-02-12,1,ref_to_mri,post
2024-02-13,1,ref_to_mri,post
2024-02-14,1,ref_to_mri,post
2024-02-15,1,ref_to_mri,post
2024-02-16,1,ref_to_mri,post
2024-02-20,1,ref_to_mri,post
2024-02-22,1,ref_to_mri,post
2024-02-23,2,ref_to_mri,post
2024-02-26,1,ref_to_mri,post
2024-02-27,3,ref_to_mri,post
2024-02-28,1,ref_to_mri,post
2024-03-07,3,ref_to_mri,post
2024-03-12,3,ref_to_mri,post
2024-03-20,1,ref_to_mri,post
2024-03-22,1,ref_to_mri,post
2024-03-25,1,ref_to_mri,post
2024-03-27,1,ref_to_mri,post
2024-03-28,2,ref_to_mri,post
2024-04-04,2,ref_to_mri,post
2024-04-05,1,ref_to_mri,post
2024-04-10,1,ref_to_mri,post
2024-04-12,1,ref_to_mri,post
2024-04-15,1,ref_to_mri,post
2024-04-16,1,ref_to_mri,post
2024-04-17,1,ref_to_mri,post
2024-04-22,1,ref_to_mri,post
2024-04-23,1,ref_to_mri,post
2024-04-26,1,ref_to_mri,post
2024-04-29,2,ref_to_mri,post
2024-04-30,1,ref_to_mri,post
2024-05-02,1,ref_to_mri,post
2024-05-03,1,ref_to_mri,post
2024-05-07,2,ref_to_mri,post
2024-05-08,2,ref_to_mri,post
2024-05-09,2,ref_to_mri,post
