comparison,stage,n1,n2,ks_statistic,ks_pvalue
pre_vs_post,wait_ref_to_mri,150,152,0.5897368421052631,5.343919634965227e-25
sim_vs_post,wait_ref_to_mri,148,152,0.7916073968705548,3.301664157592769e-47
pre_vs_sim,wait_ref_to_mri,150,148,0.952972972972973,2.5356423629820615e-75
pre_vs_sim,wait_mri_to_report,150,148,0.8466666666666667,9.321242023007535e-56
pre_vs_post,wait_report_to_biopmdt,147,72,0.9931972789115646,1.4874968111269835e-57
sim_vs_post,wait_report_to_biopmdt,148,72,0.0,1.0
pre_vs_sim,wait_report_to_biopmdt,147,148,0.9931972789115646,2.000211348055392e-85
pre_vs_post,wait_biopmdt_to_biopsy,69,72,0.12077294685990338,0.6248826398317204
sim_vs_post,wait_biopmdt_to_biopsy,93,72,0.12096774193548387,0.5418078945746222
pre_vs_sim,wait_biopmdt_to_biopsy,69,93,0.05937353903693315,0.9968776139284439
pre_vs_post,wait_biopsy_to_pathrep,64,72,0.13368055555555555,0.529021725601758
sim_vs_post,wait_biopsy_to_pathrep,92,72,0.1213768115942029,0.541103305159434
pre_vs_sim,wait_biopsy_to_pathrep,64,92,0.09171195652173914,0.8720470138932831
pre_vs_post,wait_pathrep_to_treatmdt,49,57,0.15789473684210525,0.4650217824808307
sim_vs_post,wait_pathrep_to_treatmdt,72,57,0.17543859649122806,0.2443904244780426
pre_vs_sim,wait_pathrep_to_treatmdt,49,72,0.0496031746031746,0.9999901074664047
pre_vs_post,wait_treatmdt_to_outpat,49,51,0.13725490196078433,0.6536475646034842
sim_vs_post,wait_treatmdt_to_outpat,66,51,0.19340463458110516,0.1988329089253479
pre_vs_sim,wait_treatmdt_to_outpat,49,66,0.06895485466914038,0.9970727926518983
