comparison,stage,n1,n2,ks_statistic,ks_pvalue
pre_real_vs_pre_sim,wait_ref_to_mri,150,145,0.06597701149425288,0.8745151609505404
post_real_vs_post_sim,wait_ref_to_mri,152,149,0.3013952666902155,1.534674944360797e-06
pre_real_vs_post_real,wait_ref_to_mri,150,152,0.5897368421052631,5.343919634965227e-25
pre_sim_vs_post_sim,wait_ref_to_mri,145,149,0.5869474658643833,3.4692103772950395e-24
pre_real_vs_pre_sim,wait_mri_to_report,150,141,0.03673758865248227,0.9998588098337783
post_real_vs_post_sim,wait_mri_to_report,147,149,0.034013605442176874,0.9999609960314924
pre_real_vs_post_real,wait_mri_to_report,150,147,0.8126530612244898,2.765298209091926e-50
pre_sim_vs_post_sim,wait_mri_to_report,141,149,0.851063829787234,1.1600152061094647e-54
pre_real_vs_pre_sim,wait_report_to_biopmdt,147,136,0.021408563425370147,0.9999999999984684
post_real_vs_post_sim,wait_report_to_biopmdt,72,149,0.0,1.0
pre_real_vs_post_real,wait_report_to_biopmdt,147,72,0.9931972789115646,1.4874968111269835e-57
pre_sim_vs_post_sim,wait_report_to_biopmdt,136,149,0.9852941176470589,3.7054054872252666e-80
pre_real_vs_pre_sim,wait_biopmdt_to_biopsy,69,68,0.07054560954816709,0.9869316079018474
post_real_vs_post_sim,wait_biopmdt_to_biopsy,72,84,0.16666666666666666,0.20568986925160176
pre_real_vs_post_real,wait_biopmdt_to_biopsy,69,72,0.12077294685990338,0.6248826398317204
pre_sim_vs_post_sim,wait_biopmdt_to_biopsy,68,84,0.1484593837535014,0.33722077464760797
pre_real_vs_pre_sim,wait_biopsy_to_pathrep,64,65,0.16658653846153845,0.27409117540948896
post_real_vs_post_sim,wait_biopsy_to_pathrep,72,81,0.13425925925925927,0.4521553667014325
pre_real_vs_post_real,wait_biopsy_to_pathrep,64,72,0.13368055555555555,0.529021725601758
pre_sim_vs_post_sim,wait_biopsy_to_pathrep,65,81,0.17796771130104463,0.1727836681568615
pre_real_vs_pre_sim,wait_pathrep_to_treatmdt,49,54,0.11715797430083144,0.8178328925304901
post_real_vs_post_sim,wait_pathrep_to_treatmdt,57,67,0.1657501963864886,0.3181500239099858
pre_real_vs_post_real,wait_pathrep_to_treatmdt,49,57,0.15789473684210525,0.4650217824808307
pre_sim_vs_post_sim,wait_pathrep_to_treatmdt,54,67,0.13543394140409065,0.5822357286507945
pre_real_vs_pre_sim,wait_treatmdt_to_outpat,49,52,0.0773155416012559,0.9924516002979459
post_real_vs_post_sim,wait_treatmdt_to_outpat,44,63,0.11544011544011544,0.8278102851284618
pre_real_vs_post_real,wait_treatmdt_to_outpat,49,44,0.08163265306122448,0.9914356095624056
pre_sim_vs_post_sim,wait_treatmdt_to_outpat,52,63,0.11813186813186813,0.7654300601329652
