dataset,measure,n,mean,median,std,min,p75,p90,p95,max,prop_within_62_days
pre_real,total_time_to_biopsy,150,50.666666666666664,44.0,23.672731365240214,13.0,61.5,80.39999999999998,90.54999999999998,147.0,0.76
pre_real,total_time_to_pathrep,150,54.39333333333333,49.0,26.817277979136712,13.0,68.75,91.0,100.39999999999986,154.0,0.66
pre_real,total_time_to_treatmdt,150,57.9,51.0,29.368921618727846,13.0,76.25,99.1,110.64999999999995,154.0,0.6133333333333333
pre_real,total_time_to_outpatient,150,61.553333333333335,51.0,33.2296335499099,13.0,85.0,105.59999999999997,118.54999999999998,182.0,0.5733333333333334
pre_sim,total_time_to_biopsy,145,49.53793103448276,48.0,21.520345893045537,12.0,64.0,85.0,87.79999999999998,108.0,0.7379310344827587
pre_sim,total_time_to_pathrep,145,53.15862068965517,51.0,24.633614077693423,12.0,73.0,89.6,92.79999999999998,114.0,0.6344827586206897
pre_sim,total_time_to_treatmdt,145,57.324137931034485,51.0,28.753473886408898,12.0,80.0,98.6,102.0,143.0,0.5517241379310345
pre_sim,total_time_to_outpatient,145,60.99310344827586,52.0,32.823072963602094,12.0,87.0,105.19999999999999,112.79999999999998,155.0,0.5517241379310345
post_real,total_time_to_biopsy,152,28.95394736842105,20.5,25.011875011679166,5.0,37.0,60.50000000000003,80.34999999999997,146.0,0.9144736842105263
post_real,total_time_to_pathrep,153,33.57516339869281,21.0,29.607896530819346,5.0,45.0,74.20000000000005,93.80000000000001,158.0,0.8823529411764706
post_real,total_time_to_treatmdt,153,39.248366013071895,21.0,33.86841430365615,5.0,59.0,90.0,105.00000000000003,162.0,0.7712418300653595
post_real,total_time_to_outpatient,153,41.189542483660134,22.0,35.41367406770318,5.0,63.0,90.60000000000002,106.20000000000002,174.0,0.7320261437908496
post_sim,total_time_to_biopsy,148,22.79054054054054,23.0,16.977477428696016,1.0,31.0,43.0,53.95000000000002,81.0,0.972972972972973
post_sim,total_time_to_pathrep,148,28.513513513513512,30.0,20.815511774356825,1.0,44.0,53.30000000000001,61.60000000000002,96.0,0.9459459459459459
post_sim,total_time_to_treatmdt,148,33.513513513513516,37.0,25.372996113761015,1.0,52.0,65.30000000000001,74.65,122.0,0.8918918918918919
post_sim,total_time_to_outpatient,148,38.78378378378378,43.0,30.43394554388074,1.0,59.25,78.30000000000001,84.0,161.0,0.777027027027027
