week_start,weekly_arrivals,scenario,seed,stage
2026-01-05,11,ALL_BASELINE,1,ref_to_mri
2026-01-12,8,ALL_BASELINE,1,ref_to_mri
2026-01-19,14,ALL_BASELINE,1,ref_to_mri
2026-01-26,8,ALL_BASELINE,1,ref_to_mri
2026-02-02,9,ALL_BASELINE,1,ref_to_mri
2026-02-09,8,ALL_BASELINE,1,ref_to_mri
2026-02-16,4,ALL_BASELINE,1,ref_to_mri
2026-02-23,10,ALL_BASELINE,1,ref_to_mri
2026-03-02,8,ALL_BASELINE,1,ref_to_mri
2026-03-09,11,ALL_BASELINE,1,ref_to_mri
2026-03-16,7,ALL_BASELINE,1,ref_to_mri
2026-03-23,8,ALL_BASELINE,1,ref_to_mri
2026-03-30,9,ALL_BASELINE,1,ref_to_mri
2026-04-06,10,ALL_BASELINE,1,ref_to_mri
2026-04-13,8,ALL_BASELINE,1,ref_to_mri
2026-04-20,8,ALL_BASELINE,1,ref_to_mri
2026-04-27,5,ALL_BASELINE,1,ref_to_mri
2026-05-04,9,ALL_BASELINE,1,ref_to_mri
2026-05-11,7,ALL_BASELINE,1,ref_to_mri
2026-05-18,4,ALL_BASELINE,1,ref_to_mri
2026-05-25,8,ALL_BASELINE,1,ref_to_mri
2026-06-01,8,ALL_BASELINE,1,ref_to_mri
2026-06-08,5,ALL_BASELINE,1,ref_to_mri
2026-06-15,12,ALL_BASELINE,1,ref_to_mri
2026-06-22,4,ALL_BASELINE,1,ref_to_mri
2026-06-29,5,ALL_BASELINE,1,ref_to_mri
2026-07-06,7,ALL_BASELINE,1,ref_to_mri
2026-07-13,7,ALL_BASELINE,1,ref_to_mri
2026-07-20,10,ALL_BASELINE,1,ref_to_mri
2026-07-27,11,ALL_BASELINE,1,ref_to_mri
2026-08-03,11,ALL_BASELINE,1,ref_to_mri
2026-08-10,6,ALL_BASELINE,1,ref_to_mri
2026-08-17,7,ALL_BASELINE,1,ref_to_mri
2026-08-24,7,ALL_BASELINE,1,ref_to_mri
2026-08-31,10,ALL_BASELINE,1,ref_to_mri
2026-09-07,14,ALL_BASELINE,1,ref_to_mri
2026-09-14,5,ALL_BASELINE,1,ref_to_mri
2026-09-21,10,ALL_BASELINE,1,ref_to_mri
2026-09-28,7,ALL_BASELINE,1,ref_to_mri
2026-10-05,12,ALL_BASELINE,1,ref_to_mri
2026-10-12,13,ALL_BASELINE,1,ref_to_mri
2026-10-19,6,ALL_BASELINE,1,ref_to_mri
2026-10-26,5,ALL_BASELINE,1,ref_to_mri
2026-11-02,14,ALL_BASELINE,1,ref_to_mri
2026-11-09,10,ALL_BASELINE,1,ref_to_mri
2026-11-16,9,ALL_BASELINE,1,ref_to_mri
2026-11-23,7,ALL_BASELINE,1,ref_to_mri
2026-11-30,11,ALL_BASELINE,1,ref_to_mri
2026-12-07,12,ALL_BASELINE,1,ref_to_mri
2026-12-14,10,ALL_BASELINE,1,ref_to_mri
2026-12-21,14,ALL_BASELINE,1,ref_to_mri
2026-12-28,7,ALL_BASELINE,1,ref_to_mri
2027-01-04,3,ALL_BASELINE,1,ref_to_mri
2026-01-19,3,ALL_BASELINE,1,mri_to_report
2026-01-26,7,ALL_BASELINE,1,mri_to_report
2026-02-02,9,ALL_BASELINE,1,mri_to_report
2026-02-09,13,ALL_BASELINE,1,mri_to_report
2026-02-16,6,ALL_BASELINE,1,mri_to_report
2026-02-23,6,ALL_BASELINE,1,mri_to_report
2026-03-02,3,ALL_BASELINE,1,mri_to_report
2026-03-09,11,ALL_BASELINE,1,mri_to_report
2026-03-16,10,ALL_BASELINE,1,mri_to_report
2026-03-23,9,ALL_BASELINE,1,mri_to_report
2026-03-30,6,ALL_BASELINE,1,mri_to_report
2026-04-06,8,ALL_BASELINE,1,mri_to_report
2026-04-13,13,ALL_BASELINE,1,mri_to_report
2026-04-20,11,ALL_BASELINE,1,mri_to_report
2026-04-27,8,ALL_BASELINE,1,mri_to_report
2026-05-04,6,ALL_BASELINE,1,mri_to_report
2026-05-11,10,ALL_BASELINE,1,mri_to_report
2026-05-18,10,ALL_BASELINE,1,mri_to_report
2026-05-25,6,ALL_BASELINE,1,mri_to_report
2026-06-01,6,ALL_BASELINE,1,mri_to_report
2026-06-08,7,ALL_BASELINE,1,mri_to_report
2026-06-15,4,ALL_BASELINE,1,mri_to_report
2026-06-22,7,ALL_BASELINE,1,mri_to_report
2026-06-29,7,ALL_BASELINE,1,mri_to_report
2026-07-06,7,ALL_BASELINE,1,mri_to_report
2026-07-13,8,ALL_BASELINE,1,mri_to_report
2026-07-20,6,ALL_BASELINE,1,mri_to_report
2026-07-27,5,ALL_BASELINE,1,mri_to_report
2026-08-03,8,ALL_BASELINE,1,mri_to_report
2026-08-10,11,ALL_BASELINE,1,mri_to_report
2026-08-17,10,ALL_BASELINE,1,mri_to_report
2026-08-24,10,ALL_BASELINE,1,mri_to_report
