scenario,stage,week_start,weekly_arrivals_mean,weekly_arrivals_std
ALL_BASELINE,biopmdt_to_biopsy,2026-01-19,1.5,0.7071067811865476
ALL_BASELINE,biopmdt_to_biopsy,2026-01-26,1.4285714285714286,0.5135525910130955
ALL_BASELINE,biopmdt_to_biopsy,2026-02-02,2.75,1.5517392618742705
ALL_BASELINE,biopmdt_to_biopsy,2026-02-09,3.736842105263158,1.6945043609385506
ALL_BASELINE,biopmdt_to_biopsy,2026-02-16,4.05,1.8771478925557026
ALL_BASELINE,biopmdt_to_biopsy,2026-02-23,4.9,1.9708400559953587
ALL_BASELINE,biopmdt_to_biopsy,2026-03-02,4.8,2.546411303445653
ALL_BASELINE,biopmdt_to_biopsy,2026-03-09,5.0,2.160246899469287
ALL_BASELINE,biopmdt_to_biopsy,2026-03-16,5.0,2.2360679774997894
ALL_BASELINE,biopmdt_to_biopsy,2026-03-23,5.578947368421052,2.1683529200674214
ALL_BASELINE,biopmdt_to_biopsy,2026-03-30,5.55,2.211810403980842
ALL_BASELINE,biopmdt_to_biopsy,2026-04-06,6.05,2.163695668842645
ALL_BASELINE,biopmdt_to_biopsy,2026-04-13,5.0,2.2710998958306754
ALL_BASELINE,biopmdt_to_biopsy,2026-04-20,4.631578947368421,2.671049030620106
ALL_BASELINE,biopmdt_to_biopsy,2026-04-27,4.8,2.142305693455191
ALL_BASELINE,biopmdt_to_biopsy,2026-05-04,4.5,1.7013926184468013
ALL_BASELINE,biopmdt_to_biopsy,2026-05-11,5.3,2.1545545393788235
ALL_BASELINE,biopmdt_to_biopsy,2026-05-18,5.75,2.3813972015560414
ALL_BASELINE,biopmdt_to_biopsy,2026-05-25,5.25,2.3367769075779297
ALL_BASELINE,biopmdt_to_biopsy,2026-06-01,5.6,1.729009451741235
ALL_BASELINE,biopmdt_to_biopsy,2026-06-08,5.1,2.291862033139728
ALL_BASELINE,biopmdt_to_biopsy,2026-06-15,5.4,2.1860803664140644
ALL_BASELINE,biopmdt_to_biopsy,2026-06-22,5.55,2.0124611797498106
ALL_BASELINE,biopmdt_to_biopsy,2026-06-29,5.65,2.2542357790099112
ALL_BASELINE,biopmdt_to_biopsy,2026-07-06,4.95,2.0894471693929497
ALL_BASELINE,biopmdt_to_biopsy,2026-07-13,5.25,2.3141441523584345
ALL_BASELINE,biopmdt_to_biopsy,2026-07-20,5.75,2.692582403567252
ALL_BASELINE,biopmdt_to_biopsy,2026-07-27,5.35,2.0844032340469214
ALL_BASELINE,biopmdt_to_biopsy,2026-08-03,5.2,2.46234804500437
ALL_BASELINE,biopmdt_to_biopsy,2026-08-10,4.65,1.7554426642213128
ALL_BASELINE,biopmdt_to_biopsy,2026-08-17,4.5,1.877848713148555
ALL_BASELINE,biopmdt_to_biopsy,2026-08-24,4.5,2.1151085576221176
ALL_BASELINE,biopmdt_to_biopsy,2026-08-31,5.45,1.9049796241485242
ALL_BASELINE,biopmdt_to_biopsy,2026-09-07,5.7,2.3642067769572366
ALL_BASELINE,biopmdt_to_biopsy,2026-09-14,4.75,2.0742785683093214
ALL_BASELINE,biopmdt_to_biopsy,2026-09-21,5.4,2.603641175051019
ALL_BASELINE,biopmdt_to_biopsy,2026-09-28,5.3,2.154554539378824
ALL_BASELINE,biopmdt_to_biopsy,2026-10-05,5.15,1.4244112357114616
ALL_BASELINE,biopmdt_to_biopsy,2026-10-12,5.8,2.261811104775156
ALL_BASELINE,biopmdt_to_biopsy,2026-10-19,5.25,2.022895267471328
ALL_BASELINE,biopmdt_to_biopsy,2026-10-26,5.5,2.781517949836592
ALL_BASELINE,biopmdt_to_biopsy,2026-11-02,6.0,2.339590607462407
ALL_BASELINE,biopmdt_to_biopsy,2026-11-09,5.2,1.6415653633362464
ALL_BASELINE,biopmdt_to_biopsy,2026-11-16,4.8,2.375311613906246
ALL_BASELINE,biopmdt_to_biopsy,2026-11-23,5.421052631578948,2.5672248196941774
ALL_BASELINE,biopmdt_to_biopsy,2026-11-30,4.6,2.4365635853109104
ALL_BASELINE,biopmdt_to_biopsy,2026-12-07,5.4,2.56289310206875
ALL_BASELINE,biopmdt_to_biopsy,2026-12-14,6.55,2.0124611797498106
ALL_BASELINE,biopmdt_to_biopsy,2026-12-21,5.1,2.4687520819444915
ALL_BASELINE,biopmdt_to_biopsy,2026-12-28,4.894736842105263,2.1575381248622048
ALL_BASELINE,biopmdt_to_biopsy,2027-01-04,1.4444444444444444,0.5270462766947299
ALL_BASELINE,biopsy_to_pathrep,2026-02-09,1.2,0.4472135954999579
ALL_BASELINE,biopsy_to_pathrep,2026-02-16,1.6666666666666667,0.9847319278346618
ALL_BASELINE,biopsy_to_pathrep,2026-02-23,1.8571428571428572,0.9492622930986468
ALL_BASELINE,biopsy_to_pathrep,2026-03-02,2.8333333333333335,1.3826657968874305
ALL_BASELINE,biopsy_to_pathrep,2026-03-09,3.0526315789473686,1.928548222268252
ALL_BASELINE,biopsy_to_pathrep,2026-03-16,4.45,2.0384462607326044
ALL_BASELINE,biopsy_to_pathrep,2026-03-23,3.5789473684210527,1.8948992782873189
ALL_BASELINE,biopsy_to_pathrep,2026-03-30,5.3,1.7501879598308412
ALL_BASELINE,biopsy_to_pathrep,2026-04-06,5.473684210526316,2.5247314720278573
ALL_BASELINE,biopsy_to_pathrep,2026-04-13,5.222222222222222,2.3150544538267357
ALL_BASELINE,biopsy_to_pathrep,2026-04-20,5.25,2.971354466976475
ALL_BASELINE,biopsy_to_pathrep,2026-04-27,6.3,1.9221698265515623
ALL_BASELINE,biopsy_to_pathrep,2026-05-04,5.05,2.2354794611117836
ALL_BASELINE,biopsy_to_pathrep,2026-05-11,4.55,2.394621165511528
ALL_BASELINE,biopsy_to_pathrep,2026-05-18,4.6,1.6982963599783725
ALL_BASELINE,biopsy_to_pathrep,2026-05-25,4.6,1.6351404253232553
ALL_BASELINE,biopsy_to_pathrep,2026-06-01,5.4,2.3485717944495987
ALL_BASELINE,biopsy_to_pathrep,2026-06-08,4.3,2.1051315748352692
ALL_BASELINE,biopsy_to_pathrep,2026-06-15,6.473684210526316,2.6950246556825492
ALL_BASELINE,biopsy_to_pathrep,2026-06-22,6.1,1.8890264827766654
ALL_BASELINE,biopsy_to_pathrep,2026-06-29,5.05,1.4680814547887784
ALL_BASELINE,biopsy_to_pathrep,2026-07-06,4.75,1.6181535936466533
ALL_BASELINE,biopsy_to_pathrep,2026-07-13,5.5,2.564945880212885
ALL_BASELINE,biopsy_to_pathrep,2026-07-20,5.35,1.8144159564878983
ALL_BASELINE,biopsy_to_pathrep,2026-07-27,6.05,2.3725402775129134
ALL_BASELINE,biopsy_to_pathrep,2026-08-03,5.2,1.935812083093974
ALL_BASELINE,biopsy_to_pathrep,2026-08-10,4.8,2.4192212753171978
ALL_BASELINE,biopsy_to_pathrep,2026-08-17,5.25,1.6181535936466533
ALL_BASELINE,biopsy_to_pathrep,2026-08-24,6.1,2.2918620331397284
ALL_BASELINE,biopsy_to_pathrep,2026-08-31,4.3,1.4545753585442767
ALL_BASELINE,biopsy_to_pathrep,2026-09-07,4.8,2.142305693455191
ALL_BASELINE,biopsy_to_pathrep,2026-09-14,4.55,1.9324105480761045
ALL_BASELINE,biopsy_to_pathrep,2026-09-21,5.6,1.8750438591361567
ALL_BASELINE,biopsy_to_pathrep,2026-09-28,5.25,2.1490511982341367
ALL_BASELINE,biopsy_to_pathrep,2026-10-05,4.75,2.2213082915965967
ALL_BASELINE,biopsy_to_pathrep,2026-10-12,5.15,2.1588252165910684
ALL_BASELINE,biopsy_to_pathrep,2026-10-19,6.157894736842105,2.910959328215754
ALL_BASELINE,biopsy_to_pathrep,2026-10-26,5.0,1.7167901505579046
ALL_BASELINE,biopsy_to_pathrep,2026-11-02,5.25,1.6181535936466536
ALL_BASELINE,biopsy_to_pathrep,2026-11-09,6.05,2.0384462607326044
ALL_BASELINE,biopsy_to_pathrep,2026-11-16,4.9,2.425739171122029
