scenario,stage,n,mean_wait,median_wait,p90_wait
ALL_BASELINE,biopmdt_to_biopsy,4508,27.440993788819874,23.0,43.0
ALL_BASELINE,biopsy_to_pathrep,4379,8.614752226535739,7.0,15.200000000000273
ALL_BASELINE,mri_to_report,8330,7.320048019207683,7.0,14.0
ALL_BASELINE,pathrep_to_treatmdt,3455,10.835600578871201,9.0,21.0
ALL_BASELINE,ref_to_mri,8509,24.670701610059936,22.0,41.0
ALL_BASELINE,report_to_biopmdt,8193,5.242157939704626,6.0,8.0
ALL_BASELINE,treatmdt_to_outpat,3309,11.181021456633424,12.0,13.0
ALL_PROSTAD,biopmdt_to_biopsy,2293,27.514173571740077,23.0,43.0
ALL_PROSTAD,biopsy_to_pathrep,2233,8.600537393640842,7.0,15.0
ALL_PROSTAD,mri_to_report,4141,1.0,1.0,1.0
ALL_PROSTAD,pathrep_to_treatmdt,1771,10.93845285149633,9.0,21.0
ALL_PROSTAD,ref_to_mri,4141,99.0939386621589,98.0,176.0
ALL_PROSTAD,report_to_biopmdt,4141,0.0,0.0,0.0
ALL_PROSTAD,treatmdt_to_outpat,1722,11.152729384436702,12.0,13.0
OBS_MIX,biopmdt_to_biopsy,4488,27.47638146167558,23.0,43.0
OBS_MIX,biopsy_to_pathrep,4366,8.612001832340816,7.0,16.0
OBS_MIX,mri_to_report,8190,4.212576312576313,1.0,11.0
OBS_MIX,pathrep_to_treatmdt,3430,10.824489795918367,9.0,21.0
OBS_MIX,ref_to_mri,8271,24.07580703663402,22.0,46.0
OBS_MIX,report_to_biopmdt,8123,2.6348639665148346,0.0,8.0
OBS_MIX,treatmdt_to_outpat,3305,11.154009077155825,12.0,13.0
BASELINE_REAL,biopmdt_to_biopsy,69,27.92753623188406,23.0,44.20000000000002
BASELINE_REAL,biopsy_to_pathrep,64,8.734375,7.0,15.700000000000003
BASELINE_REAL,mri_to_report,150,7.406666666666666,7.0,14.0
BASELINE_REAL,pathrep_to_treatmdt,49,10.73469387755102,9.0,21.0
BASELINE_REAL,ref_to_mri,150,25.28,22.0,42.099999999999994
BASELINE_REAL,report_to_biopmdt,147,5.238095238095238,6.0,8.0
BASELINE_REAL,treatmdt_to_outpat,49,11.183673469387756,12.0,13.0
OBS_MIX_REAL,biopmdt_to_biopsy,72,33.416666666666664,23.0,70.6
OBS_MIX_REAL,biopsy_to_pathrep,72,10.222222222222221,8.0,14.0
OBS_MIX_REAL,pathrep_to_treatmdt,57,15.228070175438596,9.0,39.599999999999994
OBS_MIX_REAL,ref_to_mri,152,13.125,13.0,19.0
OBS_MIX_REAL,treatmdt_to_outpat,44,10.113636363636363,12.0,12.0
