scenario,seed,resource,mean_queue_len,peak_queue_len,mean_wait,peak_wait,n_wait_observations
ALL_BASELINE,1,MRI_PROSTAD,0.0,0,0.0,0,0
OBS_MIX,1,MRI_PROSTAD,7.052054794520548,17,12.428571428571429,29,196
ALL_PROSTAD,1,MRI_PROSTAD,114.93698630136986,245,96.91826923076923,181,208
ALL_BASELINE,2,MRI_PROSTAD,0.0,0,0.0,0,0
OBS_MIX,2,MRI_PROSTAD,8.24931506849315,26,12.502564102564103,35,195
ALL_PROSTAD,2,MRI_PROSTAD,115.15068493150685,239,92.49029126213593,183,206
ALL_BASELINE,3,MRI_PROSTAD,0.0,0,0.0,0,0
OBS_MIX,3,MRI_PROSTAD,21.893150684931506,39,34.6,67,205
ALL_PROSTAD,3,MRI_PROSTAD,126.96986301369863,233,103.54368932038835,207,206
ALL_BASELINE,4,MRI_PROSTAD,0.0,0,0.0,0,0
OBS_MIX,4,MRI_PROSTAD,28.706849315068492,40,46.01442307692308,69,208
ALL_PROSTAD,4,MRI_PROSTAD,156.63561643835615,276,115.00961538461539,230,208
ALL_BASELINE,5,MRI_PROSTAD,0.0,0,0.0,0,0
OBS_MIX,5,MRI_PROSTAD,6.175342465753425,16,10.520408163265307,28,196
ALL_PROSTAD,5,MRI_PROSTAD,102.64657534246575,201,91.38647342995169,179,207
