scenario,seed,stage,total_arrivals,mean_daily_arrivals,peak_daily_arrivals,mean_in_stage,peak_in_stage,total_completed,completion_ratio
ALL_BASELINE,1,ref_to_mri,278,1.5706214689265536,6,17.723287671232878,26,259,0.9316546762589928
ALL_BASELINE,1,mri_to_report,259,1.446927374301676,5,5.345205479452055,12,254,0.9806949806949807
ALL_BASELINE,1,report_to_biopmdt,254,1.351063829787234,4,3.7945205479452055,9,251,0.9881889763779528
ALL_BASELINE,1,biopmdt_to_biopsy,140,1.2844036697247707,4,10.402739726027397,18,130,0.9285714285714286
ALL_BASELINE,1,biopsy_to_pathrep,130,1.1926605504587156,3,3.1205479452054794,10,124,0.9538461538461539
ALL_BASELINE,1,pathrep_to_treatmdt,102,1.146067415730337,2,3.0712328767123287,8,96,0.9411764705882353
ALL_BASELINE,1,treatmdt_to_outpat,96,1.2307692307692308,3,2.96986301369863,9,93,0.96875
OBS_MIX,1,ref_to_mri,278,1.5706214689265536,6,9.887671232876713,18,264,0.9496402877697842
OBS_MIX,1,mri_to_report,264,1.7959183673469388,7,3.158904109589041,10,260,0.9848484848484849
OBS_MIX,1,report_to_biopmdt,260,1.6993464052287581,6,2.052054794520548,6,258,0.9923076923076923
OBS_MIX,1,biopmdt_to_biopsy,145,1.4795918367346939,4,10.841095890410958,18,136,0.9379310344827586
OBS_MIX,1,biopsy_to_pathrep,136,1.2710280373831775,3,3.210958904109589,9,127,0.9338235294117647
OBS_MIX,1,pathrep_to_treatmdt,105,1.141304347826087,3,3.158904109589041,8,100,0.9523809523809523
OBS_MIX,1,treatmdt_to_outpat,100,1.2195121951219512,4,3.0465753424657533,9,97,0.97
OBS_MIX_DES_BIOPSY,1,ref_to_mri,278,1.5706214689265536,6,9.887671232876713,18,264,0.9496402877697842
OBS_MIX_DES_BIOPSY,1,mri_to_report,264,1.7959183673469388,7,3.158904109589041,10,260,0.9848484848484849
OBS_MIX_DES_BIOPSY,1,report_to_biopmdt,260,1.6993464052287581,6,2.052054794520548,6,258,0.9923076923076923
OBS_MIX_DES_BIOPSY,1,biopmdt_to_biopsy,145,1.4795918367346939,4,0.0,0,145,1.0
OBS_MIX_DES_BIOPSY,1,biopsy_to_pathrep,145,1.858974358974359,4,3.4821917808219176,9,140,0.9655172413793104
OBS_MIX_DES_BIOPSY,1,pathrep_to_treatmdt,117,1.1359223300970873,2,3.5315068493150683,9,114,0.9743589743589743
OBS_MIX_DES_BIOPSY,1,treatmdt_to_outpat,114,1.1515151515151516,3,3.4821917808219176,9,109,0.956140350877193
ALL_PROSTAD,1,ref_to_mri,278,1.5706214689265536,6,0.0,0,156,0.5611510791366906
ALL_PROSTAD,1,mri_to_report,156,3.0,3,0.4273972602739726,3,156,1.0
ALL_PROSTAD,1,report_to_biopmdt,156,3.0,3,0.0,0,156,1.0
ALL_PROSTAD,1,biopmdt_to_biopsy,89,1.934782608695652,3,0.0,0,89,1.0
ALL_PROSTAD,1,biopsy_to_pathrep,89,1.934782608695652,3,2.095890410958904,6,87,0.9775280898876404
