scenario,stage,n,mean_wait,median_wait,p90_wait
ALL_BASELINE,biopsy_to_pathrep,653,8.7947932618683,8.0,16.0
ALL_BASELINE,mri_to_report,1151,7.39357080799305,7.0,14.0
ALL_BASELINE,ref_to_mri,1151,24.654213727193746,22.0,41.0
ALL_BASELINE,report_to_biopmdt,1151,5.331885317115551,6.0,8.0
ALL_BASELINE,treatmdt_to_outpat,529,11.139886578449905,12.0,13.0
ALL_PROSTAD,biopsy_to_pathrep,441,8.75283446712018,8.0,16.0
ALL_PROSTAD,mri_to_report,741,1.0,1.0,1.0
ALL_PROSTAD,ref_to_mri,741,84.61943319838056,83.0,146.0
ALL_PROSTAD,report_to_biopmdt,741,0.0,0.0,0.0
ALL_PROSTAD,treatmdt_to_outpat,358,11.248603351955307,12.0,13.0
OBS_MIX,biopsy_to_pathrep,674,8.764094955489615,8.0,16.0
OBS_MIX,mri_to_report,1189,4.148023549201009,1.0,11.0
OBS_MIX,ref_to_mri,1189,18.3851976450799,16.0,33.0
OBS_MIX,report_to_biopmdt,1189,2.5214465937762824,0.0,7.0
OBS_MIX,treatmdt_to_outpat,545,11.130275229357798,12.0,13.0
OBS_MIX_DES_BIOPSY,biopsy_to_pathrep,741,8.748987854251013,8.0,16.0
OBS_MIX_DES_BIOPSY,mri_to_report,1256,4.167993630573249,1.0,11.0
OBS_MIX_DES_BIOPSY,ref_to_mri,1256,18.41799363057325,16.0,33.0
OBS_MIX_DES_BIOPSY,report_to_biopmdt,1256,2.5573248407643314,0.0,7.0
OBS_MIX_DES_BIOPSY,treatmdt_to_outpat,601,11.15973377703827,12.0,13.0
