week_start,weekly_arrivals,scenario,seed,stage
2024-01-01,2,ALL_BASELINE,1,ref_to_mri
2024-01-08,7,ALL_BASELINE,1,ref_to_mri
2024-01-15,6,ALL_BASELINE,1,ref_to_mri
2024-01-22,6,ALL_BASELINE,1,ref_to_mri
2024-01-29,5,ALL_BASELINE,1,ref_to_mri
2024-02-05,8,ALL_BASELINE,1,ref_to_mri
2024-02-12,6,ALL_BASELINE,1,ref_to_mri
2024-02-19,8,ALL_BASELINE,1,ref_to_mri
2024-02-26,5,ALL_BASELINE,1,ref_to_mri
2024-03-04,7,ALL_BASELINE,1,ref_to_mri
2024-03-11,2,ALL_BASELINE,1,ref_to_mri
2024-03-18,8,ALL_BASELINE,1,ref_to_mri
2024-04-01,8,ALL_BASELINE,1,ref_to_mri
2024-04-08,8,ALL_BASELINE,1,ref_to_mri
2024-04-15,7,ALL_BASELINE,1,ref_to_mri
2024-04-22,6,ALL_BASELINE,1,ref_to_mri
2024-04-29,3,ALL_BASELINE,1,ref_to_mri
2024-05-06,6,ALL_BASELINE,1,ref_to_mri
2024-05-13,6,ALL_BASELINE,1,ref_to_mri
2024-05-20,6,ALL_BASELINE,1,ref_to_mri
2024-05-27,3,ALL_BASELINE,1,ref_to_mri
2024-06-03,7,ALL_BASELINE,1,ref_to_mri
2024-06-10,2,ALL_BASELINE,1,ref_to_mri
2024-06-17,4,ALL_BASELINE,1,ref_to_mri
2024-06-24,2,ALL_BASELINE,1,ref_to_mri
2024-07-01,4,ALL_BASELINE,1,ref_to_mri
2024-07-08,7,ALL_BASELINE,1,ref_to_mri
2024-07-15,7,ALL_BASELINE,1,ref_to_mri
2024-07-22,3,ALL_BASELINE,1,ref_to_mri
2024-07-29,7,ALL_BASELINE,1,ref_to_mri
2024-08-05,2,ALL_BASELINE,1,ref_to_mri
2024-08-12,2,ALL_BASELINE,1,ref_to_mri
2024-08-19,7,ALL_BASELINE,1,ref_to_mri
2024-08-26,3,ALL_BASELINE,1,ref_to_mri
2024-09-02,4,ALL_BASELINE,1,ref_to_mri
2024-09-09,8,ALL_BASELINE,1,ref_to_mri
2024-09-16,9,ALL_BASELINE,1,ref_to_mri
2024-09-23,4,ALL_BASELINE,1,ref_to_mri
2024-09-30,6,ALL_BASELINE,1,ref_to_mri
2024-10-07,4,ALL_BASELINE,1,ref_to_mri
2024-10-14,6,ALL_BASELINE,1,ref_to_mri
2024-10-21,4,ALL_BASELINE,1,ref_to_mri
2024-10-28,3,ALL_BASELINE,1,ref_to_mri
2024-11-04,6,ALL_BASELINE,1,ref_to_mri
2024-11-11,3,ALL_BASELINE,1,ref_to_mri
2024-11-18,12,ALL_BASELINE,1,ref_to_mri
2024-11-25,3,ALL_BASELINE,1,ref_to_mri
2024-12-02,8,ALL_BASELINE,1,ref_to_mri
2024-12-09,1,ALL_BASELINE,1,ref_to_mri
2024-12-16,5,ALL_BASELINE,1,ref_to_mri
2024-12-23,5,ALL_BASELINE,1,ref_to_mri
2024-12-30,7,ALL_BASELINE,1,ref_to_mri
2024-01-22,3,ALL_BASELINE,1,mri_to_report
2024-01-29,3,ALL_BASELINE,1,mri_to_report
2024-02-05,9,ALL_BASELINE,1,mri_to_report
2024-02-12,3,ALL_BASELINE,1,mri_to_report
2024-02-19,8,ALL_BASELINE,1,mri_to_report
2024-02-26,7,ALL_BASELINE,1,mri_to_report
2024-03-04,5,ALL_BASELINE,1,mri_to_report
2024-03-11,3,ALL_BASELINE,1,mri_to_report
2024-03-18,5,ALL_BASELINE,1,mri_to_report
2024-03-25,7,ALL_BASELINE,1,mri_to_report
2024-04-01,7,ALL_BASELINE,1,mri_to_report
2024-04-08,6,ALL_BASELINE,1,mri_to_report
2024-04-15,3,ALL_BASELINE,1,mri_to_report
2024-04-22,9,ALL_BASELINE,1,mri_to_report
2024-04-29,3,ALL_BASELINE,1,mri_to_report
2024-05-06,6,ALL_BASELINE,1,mri_to_report
2024-05-13,5,ALL_BASELINE,1,mri_to_report
2024-05-20,8,ALL_BASELINE,1,mri_to_report
2024-05-27,6,ALL_BASELINE,1,mri_to_report
2024-06-03,10,ALL_BASELINE,1,mri_to_report
2024-06-10,2,ALL_BASELINE,1,mri_to_report
2024-06-17,7,ALL_BASELINE,1,mri_to_report
2024-06-24,2,ALL_BASELINE,1,mri_to_report
2024-07-01,7,ALL_BASELINE,1,mri_to_report
2024-07-15,5,ALL_BASELINE,1,mri_to_report
2024-07-22,4,ALL_BASELINE,1,mri_to_report
2024-07-29,9,ALL_BASELINE,1,mri_to_report
2024-08-05,2,ALL_BASELINE,1,mri_to_report
2024-08-12,6,ALL_BASELINE,1,mri_to_report
2024-08-19,4,ALL_BASELINE,1,mri_to_report
