scenario,resource,mean_queue_len,peak_queue_len,mean_wait,peak_wait,n_wait_observations
ALL_MC_BASELINE,MRI,0.0,0,0.0,0,0
ALL_MC_BASELINE,Biopsy,0.0,0,0.0,0,0
ALL_MC_BASELINE,MRI_REPORT,0.0,0,0.0,0,0
ALL_MC_BASELINE,BIOPSY_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,PATHOLOGY,0.0,0,0.0,0,0
ALL_MC_BASELINE,TREATMENT_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,OUTPATIENT,0.0,0,0.0,0,0
PROSTAD,MRI,1.295890410958904,5,3.6850393700787403,9,127
PROSTAD,Biopsy,0.0,0,0.0,0,0
PROSTAD,MRI_REPORT,0.0,0,0.0,0,0
PROSTAD,BIOPSY_MDT,0.0,0,0.0,0,0
PROSTAD,PATHOLOGY,0.0,0,0.0,0,0
PROSTAD,TREATMENT_MDT,0.0,0,0.0,0,0
PROSTAD,OUTPATIENT,0.0,0,0.0,0,0
