metric,n_reps,mean_across_reps,sd_across_reps,cv_across_reps,min,q2.5,median,q97.5,max,range
prop_met_62d_to_pathrep,50,0.03694157724875298,0.012496156691801166,0.33826808767952626,0.005,0.00990819525302284,0.0363638816925734,0.059866336633663364,0.06,0.055
median_total_ref_to_outpat,50,139.16,7.863919155853265,0.05650991057669779,125.5,126.8375,138.5,154.775,156.0,30.5
wait_ref_to_mri,50,106.93897417673621,5.8646211333067555,0.054840820930397154,91.67015706806282,94.70525788977861,106.62000520629962,116.61615130743843,120.31282051282051,28.642663444757687
wait_biopmdt_to_biopsy,50,32.3154241622098,1.7485100419525053,0.05410759992428762,29.29268292682927,29.471966680211295,32.070385561936014,35.36795481350435,36.504273504273506,7.2115905774442375
sd_total_ref_to_outpat,50,65.05116931562262,3.3095638385865,0.05087631588186808,59.57834373985757,59.732776957459606,65.24473334973311,69.95443998546193,71.47897674344395,11.900633003586378
mean_total_ref_to_outpat,50,138.70470044517742,6.465122202967978,0.04661069294852986,124.19170984455958,127.55339130206004,138.99333333333334,150.31765448529777,156.14871794871794,31.957008104158362
mean_total_ref_to_pathrep,50,154.96810363280127,6.852585394120193,0.044219327935750403,141.4814814814815,142.065862748127,154.63464524142213,167.39495192307695,170.44354838709677,28.962066905615274
wait_mri_to_report,50,7.662291138751162,0.30390821054890393,0.03966283779167864,6.728643216080402,7.141748632442668,7.714789279975118,8.192334481438959,8.287878787878787,1.5592355717983848
n_patients,50,198.72,3.5169560122123698,0.017698047565480927,192.0,192.0,199.0,204.0,205.0,13.0
wait_report_to_biopmdt,50,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
