scenario,stage,total_arrivals,mean_daily_arrivals,peak_daily_arrivals,mean_14d_rolling_arrivals,peak_14d_rolling_arrivals
ALL_BASELINE,biopmdt_to_biopsy,249,0.6821917808219178,4,0.6677103718199608,1.1428571428571428
ALL_PROSTAD,biopmdt_to_biopsy,134,0.36712328767123287,4,0.36954956002901207,1.0
OBS_MIX,biopmdt_to_biopsy,242,0.663013698630137,6,0.658598471543677,1.2142857142857142
ALL_BASELINE,biopsy_to_pathrep,227,0.6219178082191781,4,0.6107632093933464,1.2142857142857142
ALL_PROSTAD,biopsy_to_pathrep,123,0.336986301369863,4,0.33424657534246577,0.7142857142857143
OBS_MIX,biopsy_to_pathrep,222,0.6082191780821918,4,0.6031311154598826,1.2857142857142858
ALL_BASELINE,mri_to_report,422,1.1561643835616437,5,1.132876712328767,1.8571428571428572
ALL_PROSTAD,mri_to_report,208,0.5698630136986301,4,0.5800342427739688,2.0
OBS_MIX,mri_to_report,407,1.115068493150685,8,1.0986166801235295,1.5714285714285714
ALL_BASELINE,pathrep_to_treatmdt,190,0.5205479452054794,4,0.5091976516634051,1.2857142857142858
ALL_PROSTAD,pathrep_to_treatmdt,108,0.2958904109589041,3,0.29295499021526417,0.6428571428571429
OBS_MIX,pathrep_to_treatmdt,188,0.5150684931506849,4,0.5039138943248532,1.0
ALL_BASELINE,ref_to_mri,457,1.252054794520548,7,1.2643003191633329,3.0
ALL_PROSTAD,ref_to_mri,457,1.252054794520548,7,1.2643003191633329,3.0
OBS_MIX,ref_to_mri,457,1.252054794520548,7,1.2643003191633329,3.0
ALL_BASELINE,report_to_biopmdt,413,1.1315068493150684,6,1.109197651663405,1.9285714285714286
ALL_PROSTAD,report_to_biopmdt,208,0.5698630136986301,4,0.5733371347069978,1.3333333333333333
OBS_MIX,report_to_biopmdt,400,1.095890410958904,6,1.078220941919572,1.6428571428571428
ALL_BASELINE,treatmdt_to_outpat,184,0.5041095890410959,5,0.4953033268101761,1.2142857142857142
ALL_PROSTAD,treatmdt_to_outpat,106,0.29041095890410956,3,0.28532289628180035,0.9285714285714286
OBS_MIX,treatmdt_to_outpat,181,0.4958904109589041,4,0.4864970645792564,0.9285714285714286
