scenario,stage,mean_in_stage,median_in_stage,peak_in_stage,mean_rolling_in_stage,peak_rolling_in_stage
ALL_BASELINE,biopmdt_to_biopsy,11.824657534246576,13.0,23,11.561252446183953,19.357142857142858
ALL_PROSTAD,biopmdt_to_biopsy,9.838356164383562,10.0,15,9.68657902219546,13.357142857142858
OBS_MIX,biopmdt_to_biopsy,12.361643835616439,13.0,21,12.17220278960005,18.714285714285715
ALL_BASELINE,biopsy_to_pathrep,3.4136986301369863,3.0,11,3.354207436399217,7.642857142857143
ALL_PROSTAD,biopsy_to_pathrep,2.8876712328767122,3.0,7,2.8536203522504895,5.214285714285714
OBS_MIX,biopsy_to_pathrep,3.7150684931506848,4.0,10,3.653816046966732,7.5
ALL_BASELINE,mri_to_report,5.1068493150684935,5.0,11,4.9477495107632095,8.785714285714286
ALL_PROSTAD,mri_to_report,0.5616438356164384,0.0,4,0.5676143567239457,1.5
OBS_MIX,mri_to_report,2.5315068493150683,2.0,9,2.457542807268835,4.571428571428571
ALL_BASELINE,pathrep_to_treatmdt,3.4383561643835616,3.0,10,3.374168297455969,8.214285714285714
ALL_PROSTAD,pathrep_to_treatmdt,2.9506849315068493,3.0,11,2.895303326810176,8.071428571428571
OBS_MIX,pathrep_to_treatmdt,3.654794520547945,4.0,9,3.580821917808219,7.071428571428571
ALL_BASELINE,ref_to_mri,18.824657534246576,19.0,32,18.522655221490837,28.428571428571427
ALL_PROSTAD,ref_to_mri,0.0,0.0,0,0.0,0.0
OBS_MIX,ref_to_mri,8.665753424657535,8.0,17,8.518674179701577,14.642857142857142
ALL_BASELINE,report_to_biopmdt,3.4547945205479453,3.0,10,3.393542074363992,7.0
ALL_PROSTAD,report_to_biopmdt,0.0,0.0,0,0.0,0.0
OBS_MIX,report_to_biopmdt,1.5095890410958903,1.0,6,1.4708414872798434,4.285714285714286
ALL_BASELINE,treatmdt_to_outpat,3.4767123287671233,3.0,12,3.3831702544031312,8.928571428571429
ALL_PROSTAD,treatmdt_to_outpat,2.9643835616438357,3.0,11,2.8579256360078276,7.857142857142857
OBS_MIX,treatmdt_to_outpat,3.6410958904109587,4.0,9,3.542270058708415,7.642857142857143
