pathway_type,stage,date,n_in_stage_mean,n_in_stage_sd
BASELINE,biopmdt_to_biopsy,2026-01-05,0.0,0.0
BASELINE,biopmdt_to_biopsy,2026-01-06,0.0,0.0
BASELINE,biopmdt_to_biopsy,2026-01-07,0.0,0.0
BASELINE,biopmdt_to_biopsy,2026-01-08,0.0,0.0
BASELINE,biopmdt_to_biopsy,2026-01-09,0.0,0.0
BASELINE,biopmdt_to_biopsy,2026-01-10,0.0,0.0
BASELINE,biopmdt_to_biopsy,2026-01-11,0.0,0.0
BASELINE,biopmdt_to_biopsy,2026-01-12,0.0,0.0
BASELINE,biopmdt_to_biopsy,2026-01-13,0.0,0.0
BASELINE,biopmdt_to_biopsy,2026-01-14,0.0,0.0
BASELINE,biopmdt_to_biopsy,2026-01-15,0.0,0.0
BASELINE,biopmdt_to_biopsy,2026-01-16,0.0,0.0
BASELINE,biopmdt_to_biopsy,2026-01-17,0.0,0.0
BASELINE,biopmdt_to_biopsy,2026-01-18,0.0,0.0
BASELINE,biopmdt_to_biopsy,2026-01-19,0.0,0.0
BASELINE,biopmdt_to_biopsy,2026-01-20,0.0,0.0
BASELINE,biopmdt_to_biopsy,2026-01-21,0.0,0.0
BASELINE,biopmdt_to_biopsy,2026-01-22,0.03333333333333333,0.18257418583505536
BASELINE,biopmdt_to_biopsy,2026-01-23,0.03333333333333333,0.18257418583505536
BASELINE,biopmdt_to_biopsy,2026-01-24,0.03333333333333333,0.18257418583505536
BASELINE,biopmdt_to_biopsy,2026-01-25,0.03333333333333333,0.18257418583505536
BASELINE,biopmdt_to_biopsy,2026-01-26,0.03333333333333333,0.18257418583505536
BASELINE,biopmdt_to_biopsy,2026-01-27,0.03333333333333333,0.18257418583505536
BASELINE,biopmdt_to_biopsy,2026-01-28,0.06666666666666667,0.2537081317024625
BASELINE,biopmdt_to_biopsy,2026-01-29,0.1,0.40257789993644877
BASELINE,biopmdt_to_biopsy,2026-01-30,0.2,0.4842341981115023
BASELINE,biopmdt_to_biopsy,2026-01-31,0.23333333333333334,0.6260623155792925
BASELINE,biopmdt_to_biopsy,2026-02-01,0.26666666666666666,0.639683829949492
BASELINE,biopmdt_to_biopsy,2026-02-02,0.3333333333333333,0.6608945522512668
BASELINE,biopmdt_to_biopsy,2026-02-03,0.4,0.6746646676632054
BASELINE,biopmdt_to_biopsy,2026-02-04,0.5666666666666667,0.7279320417946062
BASELINE,biopmdt_to_biopsy,2026-02-05,0.7,0.8366600265340756
BASELINE,biopmdt_to_biopsy,2026-02-06,0.7666666666666667,0.8172001541568766
BASELINE,biopmdt_to_biopsy,2026-02-07,0.9333333333333333,1.048260737942924
BASELINE,biopmdt_to_biopsy,2026-02-08,1.1,1.0938700673013824
BASELINE,biopmdt_to_biopsy,2026-02-09,1.2333333333333334,1.2228664272317622
BASELINE,biopmdt_to_biopsy,2026-02-10,1.3,1.2077336998093462
BASELINE,biopmdt_to_biopsy,2026-02-11,1.4333333333333333,1.3565507307349294
BASELINE,biopmdt_to_biopsy,2026-02-12,1.5666666666666667,1.2780193008453875
