scenario,stage,n_runs,mean_in_stage_mean,mean_in_stage_sd,median_in_stage_mean,peak_in_stage_mean,peak_in_stage_sd
ALL_BASELINE,biopmdt_to_biopsy,30,11.38228310502283,0.8268138643827756,12.233333333333333,20.933333333333334,1.5070714541175851
ALL_PROSTAD,biopmdt_to_biopsy,30,9.114885844748859,0.576490715230077,9.4,16.133333333333333,1.4558640835892116
OBS_MIX,biopmdt_to_biopsy,30,11.928858447488585,0.8506115581276014,12.533333333333333,21.266666666666666,2.3034207445529318
ALL_BASELINE,biopsy_to_pathrep,30,3.274337899543379,0.2870499473029588,3.2666666666666666,9.733333333333333,1.1724814044061258
ALL_PROSTAD,biopsy_to_pathrep,30,2.6598173515981736,0.25939197032659506,2.6,7.766666666666667,1.0063019815944514
OBS_MIX,biopsy_to_pathrep,30,3.460456621004566,0.2977555704955696,3.3,9.833333333333334,1.0854312136382618
ALL_BASELINE,mri_to_report,30,5.35351598173516,0.27980053973594354,5.266666666666667,13.533333333333333,1.6131642354623141
ALL_PROSTAD,mri_to_report,30,0.560730593607306,0.005725841310441521,0.0,4.0,0.0
OBS_MIX,mri_to_report,30,3.0859360730593606,0.2852832784879676,2.9,10.466666666666667,0.9732042112432565
ALL_BASELINE,pathrep_to_treatmdt,30,3.2315068493150685,0.29735962848997605,3.1,10.3,1.684615990213425
ALL_PROSTAD,pathrep_to_treatmdt,30,2.6441095890410957,0.26130105876951976,2.433333333333333,7.666666666666667,0.9222660747548282
OBS_MIX,pathrep_to_treatmdt,30,3.4557077625570773,0.30754218061801597,3.3,10.066666666666666,1.5742175578808129
ALL_BASELINE,ref_to_mri,30,19.02767123287671,1.1671007447021333,19.166666666666668,30.2,2.7342022728696427
ALL_PROSTAD,ref_to_mri,30,0.0,0.0,0.0,0.0,0.0
OBS_MIX,ref_to_mri,30,9.49150684931507,0.8815183574399315,9.566666666666666,17.266666666666666,1.946408422486514
ALL_BASELINE,report_to_biopmdt,30,3.7139726027397257,0.19765692551184255,3.7333333333333334,10.733333333333333,1.2576204496597125
ALL_PROSTAD,report_to_biopmdt,30,0.0,0.0,0.0,0.0,0.0
OBS_MIX,report_to_biopmdt,30,1.8765296803652969,0.16517199260682125,1.8666666666666667,7.1,0.959525744924238
ALL_BASELINE,treatmdt_to_outpat,30,3.133424657534247,0.3485187511207245,3.066666666666667,9.933333333333334,1.3373502709187433
ALL_PROSTAD,treatmdt_to_outpat,30,2.6153424657534243,0.29257099921787677,2.533333333333333,7.866666666666666,1.279367659898984
OBS_MIX,treatmdt_to_outpat,30,3.3357077625570777,0.3602136974196224,3.3333333333333335,9.766666666666667,1.4064710873459965
