index,pathway_type,stage,n_runs,mean_in_stage_mean,mean_in_stage_sd,median_in_stage_mean,peak_in_stage_mean,peak_in_stage_sd
0,BASELINE,biopmdt_to_biopsy,30,5.891415525114155,0.7460231569936532,6.0,12.733333333333333,1.7406565018610836
7,PROSTAD,biopmdt_to_biopsy,30,6.037442922374429,0.8814839249860312,6.066666666666666,12.1,1.9181528470973281
1,BASELINE,biopsy_to_pathrep,30,1.6605479452054794,0.24504257762968176,1.5333333333333334,6.366666666666666,1.0661996103898193
8,PROSTAD,biopsy_to_pathrep,30,1.7999086757990868,0.2869270653004027,1.5666666666666667,6.1,0.922889017125588
2,BASELINE,mri_to_report,30,2.703744292237443,0.29676538638773675,2.5,8.2,0.9965457582448796
9,PROSTAD,mri_to_report,30,0.3821917808219178,0.03218248290331875,0.0,4.0,0.0
3,BASELINE,pathrep_to_treatmdt,30,1.6431050228310502,0.21435401280266791,1.4333333333333333,6.6,1.2205143065174586
10,PROSTAD,pathrep_to_treatmdt,30,1.8126027397260274,0.24017042283708892,1.7666666666666666,6.233333333333333,0.971430986184577
4,BASELINE,ref_to_mri,30,9.49150684931507,0.8815183574399315,9.566666666666666,17.266666666666666,1.946408422486514
11,PROSTAD,ref_to_mri,30,1.6954337899543377,0.34549483889976346,1.3333333333333333,7.3,1.57895644280514
5,BASELINE,report_to_biopmdt,30,1.8765296803652969,0.16517199260682125,1.8666666666666667,7.1,0.959525744924238
12,PROSTAD,report_to_biopmdt,30,0.0,0.0,0.0,0.0,0.0
6,BASELINE,treatmdt_to_outpat,30,1.5895890410958904,0.25420251112625153,1.3,6.433333333333334,1.1351236704106018
13,PROSTAD,treatmdt_to_outpat,30,1.7461187214611873,0.26502374474642615,1.5666666666666667,6.266666666666667,1.01483252680985
