seed,pathway_type,stage,mean_in_stage,median_in_stage,peak_in_stage
1000,BASELINE,biopmdt_to_biopsy,5.517808219178082,5.0,11
1000,BASELINE,biopsy_to_pathrep,1.726027397260274,1.0,6
1000,BASELINE,mri_to_report,2.638356164383562,2.0,9
1000,BASELINE,pathrep_to_treatmdt,1.4876712328767123,1.0,5
1000,BASELINE,ref_to_mri,8.663013698630136,9.0,13
1000,BASELINE,report_to_biopmdt,1.789041095890411,2.0,8
1000,BASELINE,treatmdt_to_outpat,1.5726027397260274,2.0,5
1000,PROSTAD,biopmdt_to_biopsy,5.13972602739726,5.0,9
1000,PROSTAD,biopsy_to_pathrep,1.2876712328767124,1.0,6
1000,PROSTAD,mri_to_report,0.3780821917808219,0.0,4
1000,PROSTAD,pathrep_to_treatmdt,1.7315068493150685,2.0,5
1000,PROSTAD,ref_to_mri,1.7068493150684931,1.0,7
1000,PROSTAD,report_to_biopmdt,0.0,0.0,0
1000,PROSTAD,treatmdt_to_outpat,1.7863013698630137,2.0,6
1001,BASELINE,biopmdt_to_biopsy,6.986301369863014,7.0,14
1001,BASELINE,biopsy_to_pathrep,1.8602739726027397,2.0,7
1001,BASELINE,mri_to_report,3.1561643835616437,3.0,9
1001,BASELINE,pathrep_to_treatmdt,2.0356164383561643,2.0,8
1001,BASELINE,ref_to_mri,10.764383561643836,11.0,21
1001,BASELINE,report_to_biopmdt,1.8904109589041096,2.0,7
1001,BASELINE,treatmdt_to_outpat,1.9315068493150684,2.0,9
1001,PROSTAD,biopmdt_to_biopsy,5.049315068493151,5.0,11
1001,PROSTAD,biopsy_to_pathrep,1.621917808219178,1.0,6
1001,PROSTAD,mri_to_report,0.3424657534246575,0.0,4
1001,PROSTAD,pathrep_to_treatmdt,1.63013698630137,1.0,6
1001,PROSTAD,ref_to_mri,1.36986301369863,1.0,6
1001,PROSTAD,report_to_biopmdt,0.0,0.0,0
1001,PROSTAD,treatmdt_to_outpat,1.6575342465753424,1.0,6
1002,BASELINE,biopmdt_to_biopsy,6.715068493150685,6.0,17
1002,BASELINE,biopsy_to_pathrep,1.6246575342465754,2.0,5
1002,BASELINE,mri_to_report,2.441095890410959,2.0,8
1002,BASELINE,pathrep_to_treatmdt,1.7506849315068493,2.0,7
1002,BASELINE,ref_to_mri,8.117808219178082,9.0,16
1002,BASELINE,report_to_biopmdt,1.8136986301369864,2.0,7
1002,BASELINE,treatmdt_to_outpat,1.5726027397260274,1.0,7
1002,PROSTAD,biopmdt_to_biopsy,5.326027397260274,5.0,11
1002,PROSTAD,biopsy_to_pathrep,1.5726027397260274,1.0,7
1002,PROSTAD,mri_to_report,0.3726027397260274,0.0,4
1002,PROSTAD,pathrep_to_treatmdt,1.4657534246575343,1.0,6
1002,PROSTAD,ref_to_mri,1.7424657534246575,1.0,9
1002,PROSTAD,report_to_biopmdt,0.0,0.0,0
1002,PROSTAD,treatmdt_to_outpat,1.3835616438356164,1.0,6
1003,BASELINE,biopmdt_to_biopsy,5.534246575342466,5.0,12
1003,BASELINE,biopsy_to_pathrep,1.3753424657534246,1.0,6
1003,BASELINE,mri_to_report,2.7095890410958905,3.0,9
1003,BASELINE,pathrep_to_treatmdt,1.463013698630137,1.0,6
1003,BASELINE,ref_to_mri,9.0,9.0,21
1003,BASELINE,report_to_biopmdt,1.8794520547945206,2.0,8
1003,BASELINE,treatmdt_to_outpat,1.3205479452054794,1.0,7
1003,PROSTAD,biopmdt_to_biopsy,5.846575342465753,6.0,12
1003,PROSTAD,biopsy_to_pathrep,1.610958904109589,1.0,5
1003,PROSTAD,mri_to_report,0.3643835616438356,0.0,4
1003,PROSTAD,pathrep_to_treatmdt,1.7178082191780821,2.0,6
1003,PROSTAD,ref_to_mri,1.5753424657534247,1.0,7
1003,PROSTAD,report_to_biopmdt,0.0,0.0,0
1003,PROSTAD,treatmdt_to_outpat,2.0986301369863014,2.0,6
1004,BASELINE,biopmdt_to_biopsy,5.983561643835617,6.0,13
1004,BASELINE,biopsy_to_pathrep,1.6575342465753424,2.0,8
1004,BASELINE,mri_to_report,2.7534246575342465,3.0,10
1004,BASELINE,pathrep_to_treatmdt,1.3917808219178083,1.0,6
1004,BASELINE,ref_to_mri,10.172602739726027,11.0,16
1004,BASELINE,report_to_biopmdt,2.0712328767123287,2.0,10
1004,BASELINE,treatmdt_to_outpat,1.7095890410958905,2.0,5
1004,PROSTAD,biopmdt_to_biopsy,5.663013698630137,6.0,10
1004,PROSTAD,biopsy_to_pathrep,1.6767123287671233,2.0,6
1004,PROSTAD,mri_to_report,0.4328767123287671,0.0,4
1004,PROSTAD,pathrep_to_treatmdt,1.8575342465753424,2.0,6
1004,PROSTAD,ref_to_mri,2.3013698630136985,2.0,9
1004,PROSTAD,report_to_biopmdt,0.0,0.0,0
1004,PROSTAD,treatmdt_to_outpat,1.5753424657534247,1.0,6
1005,BASELINE,biopmdt_to_biopsy,5.115068493150685,6.0,12
1005,BASELINE,biopsy_to_pathrep,1.3643835616438356,1.0,7
1005,BASELINE,mri_to_report,2.665753424657534,3.0,8
1005,BASELINE,pathrep_to_treatmdt,1.5972602739726027,1.0,7
1005,BASELINE,ref_to_mri,8.575342465753424,8.0,17
1005,BASELINE,report_to_biopmdt,1.83013698630137,2.0,6
1005,BASELINE,treatmdt_to_outpat,1.4027397260273973,1.0,7
1005,PROSTAD,biopmdt_to_biopsy,7.778082191780822,8.0,15
1005,PROSTAD,biopsy_to_pathrep,2.136986301369863,2.0,8
1005,PROSTAD,mri_to_report,0.4301369863013699,0.0,4
1005,PROSTAD,pathrep_to_treatmdt,2.3232876712328765,2.0,8
1005,PROSTAD,ref_to_mri,1.904109589041096,2.0,8
1005,PROSTAD,report_to_biopmdt,0.0,0.0,0
1005,PROSTAD,treatmdt_to_outpat,2.021917808219178,2.0,7
1006,BASELINE,biopmdt_to_biopsy,4.183561643835616,4.0,9
1006,BASELINE,biopsy_to_pathrep,1.084931506849315,1.0,4
1006,BASELINE,mri_to_report,2.2,2.0,9
1006,BASELINE,pathrep_to_treatmdt,1.2328767123287672,1.0,5
1006,BASELINE,ref_to_mri,7.802739726027397,7.0,17
1006,BASELINE,report_to_biopmdt,1.4657534246575343,1.0,6
1006,BASELINE,treatmdt_to_outpat,1.1397260273972603,1.0,5
1006,PROSTAD,biopmdt_to_biopsy,7.1726027397260275,7.0,13
1006,PROSTAD,biopsy_to_pathrep,2.175342465753425,2.0,7
1006,PROSTAD,mri_to_report,0.4136986301369863,0.0,4
1006,PROSTAD,pathrep_to_treatmdt,2.021917808219178,2.0,6
1006,PROSTAD,ref_to_mri,1.832876712328767,2.0,6
1006,PROSTAD,report_to_biopmdt,0.0,0.0,0
1006,PROSTAD,treatmdt_to_outpat,1.7397260273972603,2.0,5
1007,BASELINE,biopmdt_to_biopsy,6.372602739726028,6.0,12
1007,BASELINE,biopsy_to_pathrep,1.8684931506849316,2.0,6
1007,BASELINE,mri_to_report,2.5945205479452054,3.0,6
1007,BASELINE,pathrep_to_treatmdt,1.8027397260273972,2.0,7
1007,BASELINE,ref_to_mri,9.419178082191781,10.0,15
1007,BASELINE,report_to_biopmdt,1.8986301369863015,2.0,6
1007,BASELINE,treatmdt_to_outpat,1.8876712328767122,2.0,7
1007,PROSTAD,biopmdt_to_biopsy,7.545205479452055,8.0,14
1007,PROSTAD,biopsy_to_pathrep,2.389041095890411,2.0,7
1007,PROSTAD,mri_to_report,0.4438356164383562,0.0,4
1007,PROSTAD,pathrep_to_treatmdt,2.317808219178082,2.0,7
1007,PROSTAD,ref_to_mri,2.26027397260274,2.0,7
1007,PROSTAD,report_to_biopmdt,0.0,0.0,0
1007,PROSTAD,treatmdt_to_outpat,2.243835616438356,2.0,7
1008,BASELINE,biopmdt_to_biopsy,4.972602739726027,5.0,13
1008,BASELINE,biopsy_to_pathrep,1.2246575342465753,1.0,5
1008,BASELINE,mri_to_report,2.2794520547945205,2.0,8
1008,BASELINE,pathrep_to_treatmdt,1.3178082191780822,1.0,5
1008,BASELINE,ref_to_mri,9.07123287671233,9.0,18
1008,BASELINE,report_to_biopmdt,1.5452054794520549,1.0,7
1008,BASELINE,treatmdt_to_outpat,1.1972602739726028,1.0,6
1008,PROSTAD,biopmdt_to_biopsy,6.934246575342466,6.0,15
1008,PROSTAD,biopsy_to_pathrep,1.9013698630136986,2.0,7
1008,PROSTAD,mri_to_report,0.3835616438356164,0.0,4
1008,PROSTAD,pathrep_to_treatmdt,1.8136986301369864,2.0,6
1008,PROSTAD,ref_to_mri,1.7315068493150685,1.0,7
1008,PROSTAD,report_to_biopmdt,0.0,0.0,0
1008,PROSTAD,treatmdt_to_outpat,1.7506849315068493,1.0,7
1009,BASELINE,biopmdt_to_biopsy,5.761643835616439,6.0,12
1009,BASELINE,biopsy_to_pathrep,1.5835616438356164,1.0,6
1009,BASELINE,mri_to_report,2.8986301369863012,3.0,8
1009,BASELINE,pathrep_to_treatmdt,1.6246575342465754,1.0,7
1009,BASELINE,ref_to_mri,9.657534246575343,9.0,19
1009,BASELINE,report_to_biopmdt,1.9835616438356165,2.0,7
1009,BASELINE,treatmdt_to_outpat,1.4191780821917808,1.0,5
1009,PROSTAD,biopmdt_to_biopsy,6.841095890410959,7.0,12
1009,PROSTAD,biopsy_to_pathrep,1.8493150684931507,2.0,5
1009,PROSTAD,mri_to_report,0.36712328767123287,0.0,4
