seed,pathway_type,stage,mean_entering_biopsy_wait_per_week,mean_had_biopsy_per_week,mean_net_biopsy_wait_per_week,total_entered_biopsy_wait,total_had_biopsy,total_net_biopsy_wait
1000,BASELINE,biopmdt_to_biopsy,1.3773584905660377,1.3773584905660377,0.0,73,73,0
1000,PROSTAD,biopmdt_to_biopsy,1.1320754716981132,1.1320754716981132,0.0,60,60,0
1001,BASELINE,biopmdt_to_biopsy,1.5471698113207548,1.5471698113207548,0.0,82,82,0
1001,PROSTAD,biopmdt_to_biopsy,1.2075471698113207,1.2075471698113207,0.0,64,64,0
1002,BASELINE,biopmdt_to_biopsy,1.3962264150943395,1.3962264150943395,0.0,74,74,0
1002,PROSTAD,biopmdt_to_biopsy,1.2264150943396226,1.2264150943396226,0.0,65,65,0
1003,BASELINE,biopmdt_to_biopsy,1.169811320754717,1.169811320754717,0.0,62,62,0
1003,PROSTAD,biopmdt_to_biopsy,1.3962264150943395,1.3962264150943395,0.0,74,74,0
1004,BASELINE,biopmdt_to_biopsy,1.3962264150943395,1.3962264150943395,0.0,74,74,0
1004,PROSTAD,biopmdt_to_biopsy,1.3584905660377358,1.3584905660377358,0.0,72,72,0
1005,BASELINE,biopmdt_to_biopsy,1.0377358490566038,1.0377358490566038,0.0,55,55,0
1005,PROSTAD,biopmdt_to_biopsy,1.7547169811320755,1.7547169811320755,0.0,93,93,0
1006,BASELINE,biopmdt_to_biopsy,1.0188679245283019,1.0188679245283019,0.0,54,54,0
1006,PROSTAD,biopmdt_to_biopsy,1.7924528301886793,1.7924528301886793,0.0,95,95,0
1007,BASELINE,biopmdt_to_biopsy,1.509433962264151,1.509433962264151,0.0,80,80,0
1007,PROSTAD,biopmdt_to_biopsy,1.849056603773585,1.849056603773585,0.0,98,98,0
1008,BASELINE,biopmdt_to_biopsy,1.0943396226415094,1.0943396226415094,0.0,58,58,0
1008,PROSTAD,biopmdt_to_biopsy,1.5471698113207548,1.5471698113207548,0.0,82,82,0
1009,BASELINE,biopmdt_to_biopsy,1.3584905660377358,1.3584905660377358,0.0,72,72,0
1009,PROSTAD,biopmdt_to_biopsy,1.490566037735849,1.490566037735849,0.0,79,79,0
1010,BASELINE,biopmdt_to_biopsy,1.509433962264151,1.509433962264151,0.0,80,80,0
1010,PROSTAD,biopmdt_to_biopsy,1.6415094339622642,1.6415094339622642,0.0,87,87,0
1011,BASELINE,biopmdt_to_biopsy,1.5660377358490567,1.5660377358490567,0.0,83,83,0
1011,PROSTAD,biopmdt_to_biopsy,1.3584905660377358,1.3584905660377358,0.0,72,72,0
1012,BASELINE,biopmdt_to_biopsy,1.3018867924528301,1.3018867924528301,0.0,69,69,0
1012,PROSTAD,biopmdt_to_biopsy,1.4528301886792452,1.4528301886792452,0.0,77,77,0
1013,BASELINE,biopmdt_to_biopsy,1.471698113207547,1.471698113207547,0.0,78,78,0
1013,PROSTAD,biopmdt_to_biopsy,1.3962264150943395,1.3962264150943395,0.0,74,74,0
1014,BASELINE,biopmdt_to_biopsy,1.3396226415094339,1.3396226415094339,0.0,71,71,0
1014,PROSTAD,biopmdt_to_biopsy,1.169811320754717,1.169811320754717,0.0,62,62,0
1015,BASELINE,biopmdt_to_biopsy,1.1886792452830188,1.1886792452830188,0.0,63,63,0
1015,PROSTAD,biopmdt_to_biopsy,1.7547169811320755,1.7547169811320755,0.0,93,93,0
1016,BASELINE,biopmdt_to_biopsy,1.2830188679245282,1.2830188679245282,0.0,68,68,0
1016,PROSTAD,biopmdt_to_biopsy,1.5849056603773586,1.5849056603773586,0.0,84,84,0
1017,BASELINE,biopmdt_to_biopsy,1.169811320754717,1.169811320754717,0.0,62,62,0
1017,PROSTAD,biopmdt_to_biopsy,1.4339622641509433,1.4339622641509433,0.0,76,76,0
1018,BASELINE,biopmdt_to_biopsy,1.3962264150943395,1.3962264150943395,0.0,74,74,0
1018,PROSTAD,biopmdt_to_biopsy,1.5849056603773586,1.5849056603773586,0.0,84,84,0
1019,BASELINE,biopmdt_to_biopsy,1.3962264150943395,1.3962264150943395,0.0,74,74,0
1019,PROSTAD,biopmdt_to_biopsy,1.4339622641509433,1.4339622641509433,0.0,76,76,0
1020,BASELINE,biopmdt_to_biopsy,1.2075471698113207,1.2075471698113207,0.0,64,64,0
1020,PROSTAD,biopmdt_to_biopsy,1.5660377358490567,1.5660377358490567,0.0,83,83,0
1021,BASELINE,biopmdt_to_biopsy,1.3962264150943395,1.3962264150943395,0.0,74,74,0
1021,PROSTAD,biopmdt_to_biopsy,1.2264150943396226,1.2264150943396226,0.0,65,65,0
1022,BASELINE,biopmdt_to_biopsy,1.471698113207547,1.471698113207547,0.0,78,78,0
1022,PROSTAD,biopmdt_to_biopsy,1.320754716981132,1.320754716981132,0.0,70,70,0
1023,BASELINE,biopmdt_to_biopsy,1.5849056603773586,1.5849056603773586,0.0,84,84,0
1023,PROSTAD,biopmdt_to_biopsy,1.471698113207547,1.471698113207547,0.0,78,78,0
1024,BASELINE,biopmdt_to_biopsy,1.4150943396226414,1.4150943396226414,0.0,75,75,0
1024,PROSTAD,biopmdt_to_biopsy,1.150943396226415,1.150943396226415,0.0,61,61,0
1025,BASELINE,biopmdt_to_biopsy,1.6037735849056605,1.6037735849056605,0.0,85,85,0
1025,PROSTAD,biopmdt_to_biopsy,1.4528301886792452,1.4528301886792452,0.0,77,77,0
1026,BASELINE,biopmdt_to_biopsy,1.528301886792453,1.528301886792453,0.0,81,81,0
1026,PROSTAD,biopmdt_to_biopsy,1.3584905660377358,1.3584905660377358,0.0,72,72,0
1027,BASELINE,biopmdt_to_biopsy,1.4339622641509433,1.4339622641509433,0.0,76,76,0
1027,PROSTAD,biopmdt_to_biopsy,1.490566037735849,1.490566037735849,0.0,79,79,0
1028,BASELINE,biopmdt_to_biopsy,1.471698113207547,1.471698113207547,0.0,78,78,0
1028,PROSTAD,biopmdt_to_biopsy,1.3584905660377358,1.3584905660377358,0.0,72,72,0
1029,BASELINE,biopmdt_to_biopsy,1.490566037735849,1.490566037735849,0.0,79,79,0
1029,PROSTAD,biopmdt_to_biopsy,1.490566037735849,1.490566037735849,0.0,79,79,0
