week,demand,completed,waiting,prev_waiting
2023-06-26,2.0,0.0,0,
2023-07-03,3.0,0.0,2,0.0
2023-07-10,1.0,0.0,5,2.0
2023-07-17,1.0,0.0,6,5.0
2023-07-24,1.0,3.0,6,6.0
2023-07-31,0.0,2.0,5,6.0
2023-08-07,0.0,2.0,3,5.0
2023-08-14,4.0,1.0,1,3.0
2023-08-21,1.0,0.0,4,1.0
2023-09-04,1.0,3.0,5,4.0
2023-09-11,5.0,0.0,3,5.0
2023-09-18,1.0,0.0,8,3.0
2023-09-25,4.0,2.0,9,8.0
2023-10-02,3.0,3.0,11,9.0
2023-10-09,2.0,5.0,11,11.0
2023-10-16,2.0,3.0,8,11.0
2023-10-23,0.0,4.0,7,8.0
2023-10-30,0.0,1.0,3,7.0
2023-11-13,0.0,1.0,2,3.0
2023-12-11,2.0,1.0,1,2.0
2023-12-25,0.0,1.0,2,1.0
2024-01-15,5.0,0.0,1,2.0
2024-01-22,2.0,0.0,6,1.0
2024-01-29,4.0,1.0,8,6.0
2024-02-05,0.0,4.0,11,8.0
2024-02-12,4.0,3.0,7,11.0
2024-02-19,3.0,2.0,8,7.0
2024-02-26,6.0,1.0,9,8.0
2024-03-04,1.0,5.0,14,9.0
2024-03-11,2.0,4.0,10,14.0
2024-03-18,0.0,2.0,8,10.0
2024-03-25,5.0,0.0,6,8.0
2024-04-01,1.0,0.0,11,6.0
2024-04-08,0.0,5.0,12,11.0
2024-04-15,1.0,2.0,7,12.0
2024-04-22,2.0,0.0,7,7.0
2024-04-29,0.0,3.0,8,7.0
2024-05-06,0.0,1.0,5,8.0
2024-05-13,0.0,1.0,4,5.0
2024-05-20,0.0,2.0,3,4.0
2024-05-27,0.0,1.0,1,3.0
